"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","AGUA BONITA-PAREDES","Species richness",33,35.579,2.198,33.606,43.973,2,52,33,0.9275,14,19,0,0,0,0,0,0,0,0
"2","AGUA BONITA-PAREDES","Shannon diversity",31.334,35.579,2.119,31.426,39.732,2,52,33,0.9275,14,19,0,0,0,0,0,0,0,0
"3","AGUA BONITA-PAREDES","Simpson diversity",30.044,35.395,2.173,31.135,39.655,2,52,33,0.9275,14,19,0,0,0,0,0,0,0,0
"4","CAÑO NEGRO Y AFLUENTES","Species richness",43,65.154,18.691,48.265,136.225,13,208,43,0.9446,12,3,4,4,5,3,1,2,3,0
"5","CAÑO NEGRO Y AFLUENTES","Shannon diversity",32.39,36.63,2.266,32.39,41.071,13,208,43,0.9446,12,3,4,4,5,3,1,2,3,0
"6","CAÑO NEGRO Y AFLUENTES","Simpson diversity",27.522,29.215,1.562,27.522,32.276,13,208,43,0.9446,12,3,4,4,5,3,1,2,3,0
"7","CAÑO RAICERO","Species richness",10,10,0,NA,NA,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"8","CAÑO RAICERO","Shannon diversity",10,0,0,10,0,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"9","CAÑO RAICERO","Simpson diversity",10,10,0,10,10,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"10","CORREDOR","Species richness",24,29,5.477,24.877,52.497,6,79,24,0.9367,6,3,3,4,6,2,0,0,0,0
"11","CORREDOR","Shannon diversity",20.646,23.242,1.756,20.646,26.685,6,79,24,0.9367,6,3,3,4,6,2,0,0,0,0
"12","CORREDOR","Simpson diversity",18.855,20.544,1.37,18.855,23.229,6,79,24,0.9367,6,3,3,4,6,2,0,0,0,0
"13","LA MORENA-TRECE","Species richness",41,47.818,4.842,42.949,64.854,3,82,41,0.8945,15,11,15,0,0,0,0,0,0,0
"14","LA MORENA-TRECE","Shannon diversity",37.258,43.854,3.209,37.565,50.144,3,82,41,0.8945,15,11,15,0,0,0,0,0,0,0
"15","LA MORENA-TRECE","Simpson diversity",34.66,39.869,2.246,35.466,44.272,3,82,41,0.8945,15,11,15,0,0,0,0,0,0,0
"16","MONTECRISTO-YARIRI","Species richness",24,32.067,6.689,25.954,57.301,3,45,24,0.8319,11,5,8,0,0,0,0,0,0,0
"17","MONTECRISTO-YARIRI","Shannon diversity",21.471,27.374,3.173,21.471,33.592,3,45,24,0.8319,11,5,8,0,0,0,0,0,0,0
"18","MONTECRISTO-YARIRI","Simpson diversity",19.66,23.092,2.113,19.66,27.233,3,45,24,0.8319,11,5,8,0,0,0,0,0,0,0
"19","RIO MAGDALENA","Species richness",49,59.8,6.815,52.473,82.589,5,120,49,0.8875,18,12,5,7,7,0,0,0,0,0
"20","RIO MAGDALENA","Shannon diversity",41.209,49.532,3.129,43.4,55.664,5,120,49,0.8875,18,12,5,7,7,0,0,0,0,0
"21","RIO MAGDALENA","Simpson diversity",36.181,41.294,2.401,36.588,45.999,5,120,49,0.8875,18,12,5,7,7,0,0,0,0,0
"22","SALADO-MAGDALENA","Species richness",35,42.922,5.922,37.146,64.242,4,79,35,0.8833,13,8,6,8,0,0,0,0,0,0
"23","SALADO-MAGDALENA","Shannon diversity",30.484,36.646,3.275,30.484,43.063,4,79,35,0.8833,13,8,6,8,0,0,0,0,0,0
"24","SALADO-MAGDALENA","Simpson diversity",27.493,31.476,2.011,27.535,35.418,4,79,35,0.8833,13,8,6,8,0,0,0,0,0,0
"25","SOGAMOSITO-PAREDES","Species richness",42,44.669,2.383,42.595,53.969,4,94,42,0.9424,11,17,7,7,0,0,0,0,0,0
"26","SOGAMOSITO-PAREDES","Shannon diversity",37.872,43.449,2.363,38.817,48.081,4,94,42,0.9424,11,17,7,7,0,0,0,0,0,0
"27","SOGAMOSITO-PAREDES","Simpson diversity",34.787,41.228,2.113,37.087,45.369,4,94,42,0.9424,11,17,7,7,0,0,0,0,0,0
