"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",18,20.996,4.554,18.351,43.574,767,18,0.9961
"2","CORREDOR","Shannon diversity",7.637,7.744,0.267,7.637,8.267,767,18,0.9961
"3","CORREDOR","Simpson diversity",4.902,4.928,0.277,4.902,5.47,767,18,0.9961
"4","AGUA BONITA-PAREDES","Species richness",25,30.981,6.462,26.067,58.527,323,25,0.9815
"5","AGUA BONITA-PAREDES","Shannon diversity",12.626,13.28,0.707,12.626,14.666,323,25,0.9815
"6","AGUA BONITA-PAREDES","Simpson diversity",9.306,9.552,0.622,9.306,10.772,323,25,0.9815
"7","SOGAMOSITO-PAREDES","Species richness",31,31.285,0.678,31.019,35.234,573,31,0.9966
"8","SOGAMOSITO-PAREDES","Shannon diversity",14.286,14.688,0.682,14.286,16.026,573,31,0.9966
"9","SOGAMOSITO-PAREDES","Simpson diversity",8.961,9.088,0.661,8.961,10.382,573,31,0.9966
"10","SALADO-MAGDALENA","Species richness",33,64.965,39.556,37.835,244.343,927,33,0.9914
"11","SALADO-MAGDALENA","Shannon diversity",11.35,11.693,0.437,11.35,12.549,927,33,0.9914
"12","SALADO-MAGDALENA","Simpson diversity",7.974,8.035,0.28,7.974,8.584,927,33,0.9914
"13","CAÑO NEGRO Y AFLUENTES","Species richness",36,45.995,10.381,37.869,89.445,2204,36,0.9977
"14","CAÑO NEGRO Y AFLUENTES","Shannon diversity",14.841,14.994,0.362,14.841,15.704,2204,36,0.9977
"15","CAÑO NEGRO Y AFLUENTES","Simpson diversity",8.776,8.807,0.347,8.776,9.488,2204,36,0.9977
"16","RIO MAGDALENA","Species richness",38,45.99,6.03,40.143,67.789,782,38,0.9847
"17","RIO MAGDALENA","Shannon diversity",7.966,8.228,0.438,7.966,9.087,782,38,0.9847
"18","RIO MAGDALENA","Simpson diversity",4.332,4.351,0.231,4.332,4.804,782,38,0.9847
"19","LA MORENA-TRECE","Species richness",29,29.499,1.03,29.04,35.232,689,29,0.9971
"20","LA MORENA-TRECE","Shannon diversity",14.939,15.266,0.612,14.939,16.465,689,29,0.9971
"21","LA MORENA-TRECE","Simpson diversity",10.025,10.158,0.614,10.025,11.362,689,29,0.9971
"22","CAÑO RAICERO","Species richness",1,1,0.284,1,1.799,2,1,1
"23","CAÑO RAICERO","Shannon diversity",1,1,0,1,1,2,1,1
"24","CAÑO RAICERO","Simpson diversity",1,1,0,1,1,2,1,1
"25","MONTECRISTO-YARIRI","Species richness",21,27.23,7.529,21.97,61.013,318,21,0.9843
"26","MONTECRISTO-YARIRI","Shannon diversity",12.758,13.333,0.645,12.758,14.597,318,21,0.9843
"27","MONTECRISTO-YARIRI","Simpson diversity",10.678,11.015,0.569,10.678,12.13,318,21,0.9843
