"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",6,6,0.487,6,7.418,91,6,1
"2","CORREDOR","Shannon diversity",4.472,4.602,0.302,4.472,5.193,91,6,1
"3","CORREDOR","Simpson diversity",3.886,4.015,0.368,3.886,4.736,91,6,1
"4","AGUA BONITA-PAREDES","Species richness",8,13.895,6.982,8.941,44.935,57,8,0.9307
"5","AGUA BONITA-PAREDES","Shannon diversity",3.994,4.511,0.714,3.994,5.91,57,8,0.9307
"6","AGUA BONITA-PAREDES","Simpson diversity",2.956,3.063,0.396,2.956,3.839,57,8,0.9307
"7","SOGAMOSITO-PAREDES","Species richness",22,34.459,17.084,23.66,115.536,306,22,0.9837
"8","SOGAMOSITO-PAREDES","Shannon diversity",9.345,9.857,0.784,9.345,11.393,306,22,0.9837
"9","SOGAMOSITO-PAREDES","Simpson diversity",5.529,5.612,0.47,5.529,6.533,306,22,0.9837
"10","SALADO-MAGDALENA","Species richness",13,16.976,5.262,13.553,41.564,168,13,0.9763
"11","SALADO-MAGDALENA","Shannon diversity",3.35,3.532,0.415,3.35,4.347,168,13,0.9763
"12","SALADO-MAGDALENA","Simpson diversity",1.984,1.996,0.191,1.984,2.371,168,13,0.9763
"13","CAÑO NEGRO Y AFLUENTES","Species richness",21,21.999,1.869,21.09,32.052,726,21,0.9973
"14","CAÑO NEGRO Y AFLUENTES","Shannon diversity",9.438,9.583,0.395,9.438,10.357,726,21,0.9973
"15","CAÑO NEGRO Y AFLUENTES","Simpson diversity",6.113,6.156,0.381,6.113,6.903,726,21,0.9973
"16","RIO MAGDALENA","Species richness",26,32.1,6.055,27.203,56.92,246,26,0.9717
"17","RIO MAGDALENA","Shannon diversity",11.148,11.955,1.014,11.148,13.942,246,26,0.9717
"18","RIO MAGDALENA","Simpson diversity",7.024,7.201,0.61,7.024,8.397,246,26,0.9717
"19","LA MORENA-TRECE","Species richness",17,17.249,0.728,17.013,21.725,437,17,0.9977
"20","LA MORENA-TRECE","Shannon diversity",7.505,7.653,0.382,7.505,8.401,437,17,0.9977
"21","LA MORENA-TRECE","Simpson diversity",4.675,4.715,0.356,4.675,5.413,437,17,0.9977
"22","CAÑO RAICERO","Species richness",10,10,0.618,10,11.847,77,10,1
"23","CAÑO RAICERO","Shannon diversity",7.463,7.934,0.649,7.463,9.207,77,10,1
"24","CAÑO RAICERO","Simpson diversity",6.131,6.575,0.734,6.131,8.015,77,10,1
"25","MONTECRISTO-YARIRI","Species richness",12,14.987,4.499,12.354,37.21,239,12,0.9875
"26","MONTECRISTO-YARIRI","Shannon diversity",7.04,7.267,0.414,7.04,8.078,239,12,0.9875
"27","MONTECRISTO-YARIRI","Simpson diversity",5.598,5.709,0.395,5.598,6.483,239,12,0.9875
