"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",19,20.996,2.642,19.278,33.338,543,19,0.9927
"2","CORREDOR","Shannon diversity",8.076,8.241,0.358,8.076,8.942,543,19,0.9927
"3","CORREDOR","Simpson diversity",6.205,6.265,0.23,6.205,6.715,543,19,0.9927
"4","AGUA BONITA-PAREDES","Species richness",19,68.324,58.782,26.813,330.399,74,19,0.8652
"5","AGUA BONITA-PAREDES","Shannon diversity",10.075,14.09,3.384,10.075,20.722,74,19,0.8652
"6","AGUA BONITA-PAREDES","Simpson diversity",6.071,6.524,1.238,6.071,8.951,74,19,0.8652
"7","SOGAMOSITO-PAREDES","Species richness",28,31.107,3.639,28.503,47.205,175,28,0.9717
"8","SOGAMOSITO-PAREDES","Shannon diversity",17.366,19.082,1.411,17.366,21.846,175,28,0.9717
"9","SOGAMOSITO-PAREDES","Simpson diversity",12.187,13.024,1.378,12.187,15.725,175,28,0.9717
"10","CAÑO NEGRO Y AFLUENTES","Species richness",17,41.33,30.895,20.564,183.067,144,17,0.9515
"11","CAÑO NEGRO Y AFLUENTES","Shannon diversity",9.589,10.821,1.143,9.589,13.063,144,17,0.9515
"12","CAÑO NEGRO Y AFLUENTES","Simpson diversity",7.674,8.05,0.545,7.674,9.117,144,17,0.9515
"13","LA MORENA-TRECE","Species richness",31,39.149,8.261,32.569,73.339,474,31,0.9853
"14","LA MORENA-TRECE","Shannon diversity",13.815,14.424,0.716,13.815,15.828,474,31,0.9853
"15","LA MORENA-TRECE","Simpson diversity",8.212,8.339,0.621,8.212,9.557,474,31,0.9853
"16","MONTECRISTO-YARIRI","Species richness",13,15.231,3.37,13.263,31.898,119,13,0.9751
"17","MONTECRISTO-YARIRI","Shannon diversity",8.335,8.902,0.7,8.335,10.274,119,13,0.9751
"18","MONTECRISTO-YARIRI","Simpson diversity",6.811,7.164,0.65,6.811,8.439,119,13,0.9751
