"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","SOGAMOSITO-PAREDES","Species richness",1,1,0.002,1,1.005,12,1,1
"2","SOGAMOSITO-PAREDES","Shannon diversity",1,1,0,1,1,12,1,1
"3","SOGAMOSITO-PAREDES","Simpson diversity",1,1,0,1,1,12,1,1
"4","SALADO-MAGDALENA","Species richness",7,7.462,0.97,7.036,12.897,13,7,0.8846
"5","SALADO-MAGDALENA","Shannon diversity",6.586,8.772,1.893,6.586,12.482,13,7,0.8846
"6","SALADO-MAGDALENA","Simpson diversity",6.259,11.143,2.401,6.437,15.849,13,7,0.8846
"7","RIO MAGDALENA","Species richness",12,36.02,30.506,15.518,175.982,51,12,0.8635
"8","RIO MAGDALENA","Shannon diversity",6.494,8.687,2.07,6.494,12.744,51,12,0.8635
"9","RIO MAGDALENA","Simpson diversity",4.703,5.08,0.86,4.703,6.765,51,12,0.8635
"10","MONTECRISTO-YARIRI","Species richness",5,7.812,4.125,5.345,27.961,16,5,0.8242
"11","MONTECRISTO-YARIRI","Shannon diversity",3.421,4.388,0.965,3.421,6.28,16,5,0.8242
"12","MONTECRISTO-YARIRI","Simpson diversity",2.783,3.158,0.743,2.783,4.614,16,5,0.8242
"13","CAÑO NEGRO Y AFLUENTES","Species richness",13,16.927,5.202,13.546,41.244,55,13,0.9286
"14","CAÑO NEGRO Y AFLUENTES","Shannon diversity",8.547,10.044,1.528,8.547,13.04,55,13,0.9286
"15","CAÑO NEGRO Y AFLUENTES","Simpson diversity",6.315,7.005,1.218,6.315,9.392,55,13,0.9286
