"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_10_D","Species richness",9,9.995,2.248,9.071,22.887,"ANH_10","Ar_At",0.710928319623972
"2","ANH_10_D","Shannon diversity",3.438,3.528,0.307,3.438,4.13,"ANH_10","Ar_At",0.710928319623972
"3","ANH_10_D","Simpson diversity",2.195,2.209,0.198,2.195,2.597,"ANH_10","Ar_At",0.710928319623972
"4","ANH_11_D","Species richness",18,23.978,7.209,18.933,56.294,"ANH_11","Ar_At",0.355464159811986
"5","ANH_11_D","Shannon diversity",8.787,9.177,0.646,8.787,10.444,"ANH_11","Ar_At",0.355464159811986
"6","ANH_11_D","Simpson diversity",5.701,5.8,0.518,5.701,6.814,"ANH_11","Ar_At",0.355464159811986
"7","ANH_12_D","Species richness",19,23.151,4.866,19.671,44.684,"ANH_12","Ar_At",0.846063454759107
"8","ANH_12_D","Shannon diversity",6.517,6.827,0.497,6.517,7.801,"ANH_12","Ar_At",0.846063454759107
"9","ANH_12_D","Simpson diversity",3.87,3.913,0.351,3.87,4.601,"ANH_12","Ar_At",0.846063454759107
"10","ANH_13_D","Species richness",15,17.647,3.463,15.374,33.743,"ANH_13","Ar_At",0.780846063454759
"11","ANH_13_D","Shannon diversity",8.206,8.786,0.777,8.206,10.309,"ANH_13","Ar_At",0.780846063454759
"12","ANH_13_D","Simpson diversity",6.017,6.249,0.697,6.017,7.616,"ANH_13","Ar_At",0.780846063454759
"13","ANH_14_D","Species richness",13,13.995,1.862,13.09,24.016,"ANH_14","Ar_At",0.556404230317274
"14","ANH_14_D","Shannon diversity",4.448,4.619,0.449,4.448,5.499,"ANH_14","Ar_At",0.556404230317274
"15","ANH_14_D","Simpson diversity",2.503,2.523,0.234,2.503,2.982,"ANH_14","Ar_At",0.556404230317274
"16","ANH_15_D","Species richness",18,18.499,1.321,18.03,26.427,"ANH_15","Ar_At",0.520564042303173
"17","ANH_15_D","Shannon diversity",9.191,9.362,0.439,9.191,10.222,"ANH_15","Ar_At",0.520564042303173
"18","ANH_15_D","Simpson diversity",6.602,6.678,0.367,6.602,7.397,"ANH_15","Ar_At",0.520564042303173
"19","ANH_16_D","Species richness",14,19.973,7.167,14.938,52.023,"ANH_16","Ar_At",0.965922444183314
"20","ANH_16_D","Shannon diversity",6.004,6.279,0.51,6.004,7.277,"ANH_16","Ar_At",0.965922444183314
"21","ANH_16_D","Simpson diversity",4.076,4.133,0.353,4.076,4.825,"ANH_16","Ar_At",0.965922444183314
"22","ANH_17_D","Species richness",10,10,0.619,10,11.847,"ANH_17","Ar_At",0.411280846063455
"23","ANH_17_D","Shannon diversity",7.395,7.85,0.659,7.395,9.142,"ANH_17","Ar_At",0.411280846063455
"24","ANH_17_D","Simpson diversity",6.077,6.5,0.781,6.077,8.031,"ANH_17","Ar_At",0.411280846063455
"25","ANH_18_D","Species richness",18,32.944,13.613,21.257,86.569,"ANH_18","Ar_At",0.846063454759107
"26","ANH_18_D","Shannon diversity",9.019,9.553,0.595,9.019,10.719,"ANH_18","Ar_At",0.846063454759107
"27","ANH_18_D","Simpson diversity",7.132,7.301,0.414,7.132,8.112,"ANH_18","Ar_At",0.846063454759107
"28","ANH_19_D","Species richness",32,80.821,43.835,42.817,252.344,"ANH_19","Ar_At",1.08754406580494
"29","ANH_19_D","Shannon diversity",12.47,14.146,1.324,12.47,16.74,"ANH_19","Ar_At",1.08754406580494
"30","ANH_19_D","Simpson diversity",8.104,8.321,0.667,8.104,9.628,"ANH_19","Ar_At",1.08754406580494
"31","ANH_20_D","Species richness",18,22.453,4.757,18.805,42.626,"ANH_20","Ar_At",1.01410105757932
"32","ANH_20_D","Shannon diversity",10.396,11.797,1.163,10.396,14.077,"ANH_20","Ar_At",1.01410105757932
"33","ANH_20_D","Simpson diversity",7.505,8.057,0.958,7.505,9.934,"ANH_20","Ar_At",1.01410105757932
"34","ANH_21_D","Species richness",25,44.921,17.219,29.607,111.128,"ANH_21","Ar_At",1.12808460634548
"35","ANH_21_D","Shannon diversity",17.597,23.225,3.454,17.597,29.995,"ANH_21","Ar_At",1.12808460634548
"36","ANH_21_D","Simpson diversity",13.667,16.2,2.127,13.667,20.369,"ANH_21","Ar_At",1.12808460634548
"37","ANH_291_D","Species richness",17,21.478,7.16,17.492,57.728,"ANH_291","Ar_At",0.7475910693302
"38","ANH_291_D","Shannon diversity",10.844,11.426,0.68,10.844,12.758,"ANH_291","Ar_At",0.7475910693302
"39","ANH_291_D","Simpson diversity",8.39,8.705,0.595,8.39,9.872,"ANH_291","Ar_At",0.7475910693302
"40","ANH_292_D","Species richness",16,25.965,10.224,17.891,68.518,"ANH_292","Ar_At",0.452996474735605
"41","ANH_292_D","Shannon diversity",6.727,7.031,0.447,6.727,7.906,"ANH_292","Ar_At",0.452996474735605
"42","ANH_292_D","Simpson diversity",4.627,4.687,0.293,4.627,5.261,"ANH_292","Ar_At",0.452996474735605
"43","ANH_293_D","Species richness",23,28.975,6.456,24.066,56.496,"ANH_293","Ar_At",0.746768507638073
"44","ANH_293_D","Shannon diversity",11.393,12.131,0.865,11.393,13.825,"ANH_293","Ar_At",0.746768507638073
"45","ANH_293_D","Simpson diversity",8.058,8.3,0.624,8.058,9.522,"ANH_293","Ar_At",0.746768507638073
"46","ANH_294_D","Species richness",19,23.136,4.85,19.668,44.602,"ANH_294","Ar_At",0.588249118683901
"47","ANH_294_D","Shannon diversity",10.64,11.644,1.073,10.64,13.747,"ANH_294","Ar_At",0.588249118683901
"48","ANH_294_D","Simpson diversity",7.513,7.893,0.829,7.513,9.517,"ANH_294","Ar_At",0.588249118683901
"49","ANH_295_D","Species richness",11,13.225,3.362,11.263,29.855,"ANH_295","Ar_At",0.552291421856639
"50","ANH_295_D","Shannon diversity",6.159,6.639,0.668,6.159,7.948,"ANH_295","Ar_At",0.552291421856639
"51","ANH_295_D","Simpson diversity",4.676,4.875,0.556,4.676,5.965,"ANH_295","Ar_At",0.552291421856639
"52","ANH_296_D","Species richness",11,15.41,7.056,11.484,51.143,"ANH_296","Ar_At",1.25264394829612
"53","ANH_296_D","Shannon diversity",7.532,8.786,1.341,7.532,11.415,"ANH_296","Ar_At",1.25264394829612
"54","ANH_296_D","Simpson diversity",5.459,6.005,1.207,5.459,8.371,"ANH_296","Ar_At",1.25264394829612
"55","ANH_297_D","Species richness",30,34.153,4.868,30.671,55.693,"ANH_297","Ar_At",0.645593419506463
"56","ANH_297_D","Shannon diversity",15.788,16.771,0.965,15.788,18.663,"ANH_297","Ar_At",0.645593419506463
"57","ANH_297_D","Simpson diversity",10.798,11.168,0.894,10.798,12.921,"ANH_297","Ar_At",0.645593419506463
"58","ANH_298_D","Species richness",23,37.962,13.676,26.248,91.92,"ANH_298","Ar_At",1.09870740305523
"59","ANH_298_D","Shannon diversity",10.115,10.591,0.679,10.115,11.922,"ANH_298","Ar_At",1.09870740305523
"60","ANH_298_D","Simpson diversity",6.734,6.834,0.452,6.734,7.719,"ANH_298","Ar_At",1.09870740305523
"61","ANH_299_D","Species richness",14,17.972,5.257,14.553,42.536,"ANH_299","Ar_At",1.65217391304348
