"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","Caño","Hyphessobrycon natagaima",TRUE,1,440,18.8,NA,NA,18.8,2.6,2.7
"2","Arrastre","Caño","Astyanax sp. 2",TRUE,2,297,12.7,NA,NA,31.5,2.5,5.4
"3","Arrastre","Caño","Nanocheirodon insignis",TRUE,3,202,8.6,NA,NA,40.2,2.3,8.1
"4","Arrastre","Caño","Saccoderma hastata",FALSE,4,178,7.6,NA,NA,47.8,2.3,10.8
"5","Arrastre","Caño","Astyanax magdalenae",FALSE,5,130,5.6,NA,NA,53.3,2.1,13.5
"6","Arrastre","Caño","Dasyloricaria filamentosa",FALSE,6,115,4.9,NA,NA,58.3,2.1,16.2
"7","Arrastre","Caño","Rineloricaria magdalenae",FALSE,7,110,4.7,NA,NA,63,2,18.9
"8","Arrastre","Caño","Poecilia caucana",FALSE,8,110,4.7,NA,NA,67.7,2,21.6
"9","Arrastre","Caño","Cyphocharax magdalenae",FALSE,9,98,4.2,NA,NA,71.9,2,24.3
"10","Arrastre","Caño","Caquetaia kraussii",FALSE,10,92,3.9,NA,NA,75.8,2,27
"11","Arrastre","Caño","Ctenolucius hujeta",FALSE,11,86,3.7,NA,NA,79.5,1.9,29.7
"12","Arrastre","Caño","Characidium zebra",FALSE,12,80,3.4,NA,NA,82.9,1.9,32.4
"13","Arrastre","Caño","Andinoacara latifrons",FALSE,13,73,3.1,NA,NA,86,1.9,35.1
"14","Arrastre","Caño","Eigenmannia camposi",FALSE,14,59,2.5,NA,NA,88.5,1.8,37.8
"15","Arrastre","Caño","Roeboides dayi",FALSE,15,58,2.5,NA,NA,91,1.8,40.5
"16","Arrastre","Caño","Trichopodus pectoralis",FALSE,16,34,1.5,NA,NA,92.5,1.5,43.2
"17","Arrastre","Caño","Hoplosternum magdalenae",FALSE,17,33,1.4,NA,NA,93.9,1.5,45.9
"18","Arrastre","Caño","Trachelyopterus insignis",FALSE,18,25,1.1,NA,NA,95,1.4,48.6
"19","Arrastre","Caño","Trichopodus trichopterus",FALSE,19,19,0.8,NA,NA,95.8,1.3,51.4
"20","Arrastre","Caño","Rhamdia guatemalensis",FALSE,20,13,0.6,NA,NA,96.3,1.1,54.1
"21","Arrastre","Caño","Gasteropelecus maculatus",FALSE,21,10,0.4,NA,NA,96.7,1,56.8
"22","Arrastre","Caño","Prochilodus magdalenae",FALSE,22,10,0.4,NA,NA,97.2,1,59.5
"23","Arrastre","Caño","Bunocephalus colombianus",FALSE,23,9,0.4,NA,NA,97.6,1,62.2
"24","Arrastre","Caño","Hoplias malabaricus",FALSE,24,8,0.3,NA,NA,97.9,0.9,64.9
"25","Arrastre","Caño","Rivulus xi",FALSE,25,8,0.3,NA,NA,98.2,0.9,67.6
"26","Arrastre","Caño","Astyanax sp. 1",FALSE,26,7,0.3,NA,NA,98.5,0.8,70.3
"27","Arrastre","Caño","Brachyhypopomus occidentalis",FALSE,27,7,0.3,NA,NA,98.8,0.8,73
"28","Arrastre","Caño","Synbranchus marmoratus",FALSE,28,6,0.3,NA,NA,99.1,0.8,75.7
"29","Arrastre","Caño","Megaleporinus muyscorum",FALSE,29,5,0.2,NA,NA,99.3,0.7,78.4
"30","Arrastre","Caño","Gephyrocharax melanocheir",FALSE,30,5,0.2,NA,NA,99.5,0.7,81.1
"31","Arrastre","Caño","Characidium boavistae",FALSE,31,3,0.1,NA,NA,99.7,0.5,83.8
"32","Arrastre","Caño","Hypostomus hondae",FALSE,32,3,0.1,NA,NA,99.8,0.5,86.5
"33","Arrastre","Caño","Geophagus steindachneri",FALSE,33,1,0,NA,NA,99.8,0,89.2
"34","Arrastre","Caño","Brycon moorei",FALSE,34,1,0,NA,NA,99.9,0,91.9
"35","Arrastre","Caño","Sturisomatichthys aureus",FALSE,35,1,0,NA,NA,99.9,0,94.6
"36","Arrastre","Caño","Callichthys oibaensis",FALSE,36,1,0,NA,NA,100,0,97.3
"37","Arrastre","Caño","Creagrutus magdalenae",FALSE,37,1,0,NA,NA,100,0,100
