"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","Caño_21","Hyphessobrycon natagaima",TRUE,1,440,18.8,NA,NA,18.8,2.6,2.7
"2","Arrastre","Caño_21","Astyanax sp. 2",TRUE,2,297,12.7,NA,NA,31.5,2.5,5.4
"3","Arrastre","Caño_21","Nanocheirodon insignis",TRUE,3,202,8.6,NA,NA,40.2,2.3,8.1
"4","Arrastre","Caño_21","Saccoderma hastata",FALSE,4,178,7.6,NA,NA,47.8,2.3,10.8
"5","Arrastre","Caño_21","Astyanax magdalenae",FALSE,5,130,5.6,NA,NA,53.3,2.1,13.5
"6","Arrastre","Caño_21","Dasyloricaria filamentosa",FALSE,6,115,4.9,NA,NA,58.3,2.1,16.2
"7","Arrastre","Caño_21","Rineloricaria magdalenae",FALSE,7,110,4.7,NA,NA,63,2,18.9
"8","Arrastre","Caño_21","Poecilia caucana",FALSE,8,110,4.7,NA,NA,67.7,2,21.6
"9","Arrastre","Caño_21","Cyphocharax magdalenae",FALSE,9,98,4.2,NA,NA,71.9,2,24.3
"10","Arrastre","Caño_21","Caquetaia kraussii",FALSE,10,92,3.9,NA,NA,75.8,2,27
"11","Arrastre","Caño_21","Ctenolucius hujeta",FALSE,11,86,3.7,NA,NA,79.5,1.9,29.7
"12","Arrastre","Caño_21","Characidium zebra",FALSE,12,80,3.4,NA,NA,82.9,1.9,32.4
"13","Arrastre","Caño_21","Andinoacara latifrons",FALSE,13,73,3.1,NA,NA,86,1.9,35.1
"14","Arrastre","Caño_21","Eigenmannia camposi",FALSE,14,59,2.5,NA,NA,88.5,1.8,37.8
"15","Arrastre","Caño_21","Roeboides dayi",FALSE,15,58,2.5,NA,NA,91,1.8,40.5
"16","Arrastre","Caño_21","Trichopodus pectoralis",FALSE,16,34,1.5,NA,NA,92.5,1.5,43.2
"17","Arrastre","Caño_21","Hoplosternum magdalenae",FALSE,17,33,1.4,NA,NA,93.9,1.5,45.9
"18","Arrastre","Caño_21","Trachelyopterus insignis",FALSE,18,25,1.1,NA,NA,95,1.4,48.6
"19","Arrastre","Caño_21","Trichopodus trichopterus",FALSE,19,19,0.8,NA,NA,95.8,1.3,51.4
"20","Arrastre","Caño_21","Rhamdia guatemalensis",FALSE,20,13,0.6,NA,NA,96.3,1.1,54.1
"21","Arrastre","Caño_21","Gasteropelecus maculatus",FALSE,21,10,0.4,NA,NA,96.7,1,56.8
"22","Arrastre","Caño_21","Prochilodus magdalenae",FALSE,22,10,0.4,NA,NA,97.2,1,59.5
"23","Arrastre","Caño_21","Bunocephalus colombianus",FALSE,23,9,0.4,NA,NA,97.6,1,62.2
"24","Arrastre","Caño_21","Hoplias malabaricus",FALSE,24,8,0.3,NA,NA,97.9,0.9,64.9
