"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","Caracterizacion","Saccoderma hastata",TRUE,1,152,17,NA,NA,17,2.2,2.6
"2","Arrastre","Caracterizacion","Astyanax magdalenae",TRUE,2,125,14,NA,NA,30.9,2.1,5.3
"3","Arrastre","Caracterizacion","Gephyrocharax melanocheir",TRUE,3,89,9.9,NA,NA,40.8,1.9,7.9
"4","Arrastre","Caracterizacion","Characidium zebra",FALSE,4,84,9.4,NA,NA,50.2,1.9,10.5
"5","Arrastre","Caracterizacion","Nanocheirodon insignis",FALSE,5,62,6.9,NA,NA,57.1,1.8,13.2
"6","Arrastre","Caracterizacion","Hyphessobrycon natagaima",FALSE,6,56,6.2,NA,NA,63.4,1.7,15.8
"7","Arrastre","Caracterizacion","Poecilia caucana",FALSE,7,47,5.2,NA,NA,68.6,1.7,18.4
"8","Arrastre","Caracterizacion","Caquetaia kraussii",FALSE,8,39,4.4,NA,NA,73,1.6,21.1
"9","Arrastre","Caracterizacion","Gasteropelecus maculatus",FALSE,9,34,3.8,NA,NA,76.8,1.5,23.7
"10","Arrastre","Caracterizacion","Astyanax sp. 1",FALSE,10,29,3.2,NA,NA,80,1.5,26.3
"11","Arrastre","Caracterizacion","Andinoacara latifrons",FALSE,11,25,2.8,NA,NA,82.8,1.4,28.9
"12","Arrastre","Caracterizacion","Roeboides dayi",FALSE,12,24,2.7,NA,NA,85.5,1.4,31.6
"13","Arrastre","Caracterizacion","Paravandellia phaneronema",FALSE,13,19,2.1,NA,NA,87.6,1.3,34.2
"14","Arrastre","Caracterizacion","Rivulus xi",FALSE,14,13,1.5,NA,NA,89.1,1.1,36.8
"15","Arrastre","Caracterizacion","Eigenmannia camposi",FALSE,15,11,1.2,NA,NA,90.3,1,39.5
"16","Arrastre","Caracterizacion","Brachyhypopomus occidentalis",FALSE,16,11,1.2,NA,NA,91.5,1,42.1
"17","Arrastre","Caracterizacion","Rineloricaria magdalenae",FALSE,17,10,1.1,NA,NA,92.6,1,44.7
"18","Arrastre","Caracterizacion","Sturisomatichthys aureus",FALSE,18,9,1,NA,NA,93.6,1,47.4
"19","Arrastre","Caracterizacion","Creagrutus affinis",FALSE,19,7,0.8,NA,NA,94.4,0.8,50
"20","Arrastre","Caracterizacion","Geophagus steindachneri",FALSE,20,6,0.7,NA,NA,95.1,0.8,52.6
"21","Arrastre","Caracterizacion","Astyanax sp. 2",FALSE,21,5,0.6,NA,NA,95.6,0.7,55.3
"22","Arrastre","Caracterizacion","Astyanax filiferus",FALSE,22,5,0.6,NA,NA,96.2,0.7,57.9
"23","Arrastre","Caracterizacion","Bunocephalus colombianus",FALSE,23,4,0.4,NA,NA,96.7,0.6,60.5
"24","Arrastre","Caracterizacion","Apteronotus milesi",FALSE,24,4,0.4,NA,NA,97.1,0.6,63.2
"25","Arrastre","Caracterizacion","Hoplias malabaricus",FALSE,25,3,0.3,NA,NA,97.4,0.5,65.8
"26","Arrastre","Caracterizacion","Ctenolucius hujeta",FALSE,26,3,0.3,NA,NA,97.8,0.5,68.4
