"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","AGUA BONITA-PAREDES","Astyanax magdalenae",TRUE,1,58,18,NA,NA,18,1.8,4
"2","Arrastre","AGUA BONITA-PAREDES","Gephyrocharax melanocheir",TRUE,2,55,17,NA,NA,35,1.7,8
"3","Arrastre","AGUA BONITA-PAREDES","Hyphessobrycon natagaima",TRUE,3,45,13.9,NA,NA,48.9,1.7,12
"4","Arrastre","AGUA BONITA-PAREDES","Characidium zebra",FALSE,4,34,10.5,NA,NA,59.4,1.5,16
"5","Arrastre","AGUA BONITA-PAREDES","Nanocheirodon insignis",FALSE,5,22,6.8,NA,NA,66.3,1.3,20
"6","Arrastre","AGUA BONITA-PAREDES","Gasteropelecus maculatus",FALSE,6,18,5.6,NA,NA,71.8,1.3,24
"7","Arrastre","AGUA BONITA-PAREDES","Astyanax sp. 1",FALSE,7,15,4.6,NA,NA,76.5,1.2,28
"8","Arrastre","AGUA BONITA-PAREDES","Rivulus xi",FALSE,8,13,4,NA,NA,80.5,1.1,32
"9","Arrastre","AGUA BONITA-PAREDES","Poecilia caucana",FALSE,9,12,3.7,NA,NA,84.2,1.1,36
"10","Arrastre","AGUA BONITA-PAREDES","Brachyhypopomus occidentalis",FALSE,10,11,3.4,NA,NA,87.6,1,40
"11","Arrastre","AGUA BONITA-PAREDES","Eigenmannia camposi",FALSE,11,8,2.5,NA,NA,90.1,0.9,44
"12","Arrastre","AGUA BONITA-PAREDES","Caquetaia kraussii",FALSE,12,7,2.2,NA,NA,92.3,0.8,48
"13","Arrastre","AGUA BONITA-PAREDES","Andinoacara latifrons",FALSE,13,4,1.2,NA,NA,93.5,0.6,52
"14","Arrastre","AGUA BONITA-PAREDES","Astyanax sp. 2",FALSE,14,3,0.9,NA,NA,94.4,0.5,56
"15","Arrastre","AGUA BONITA-PAREDES","Astyanax yariguies",FALSE,15,3,0.9,NA,NA,95.4,0.5,60
"16","Arrastre","AGUA BONITA-PAREDES","Roeboides dayi",FALSE,16,3,0.9,NA,NA,96.3,0.5,64
"17","Arrastre","AGUA BONITA-PAREDES","Creagrutus affinis",FALSE,17,2,0.6,NA,NA,96.9,0.3,68
"18","Arrastre","AGUA BONITA-PAREDES","Saccoderma hastata",FALSE,18,2,0.6,NA,NA,97.5,0.3,72
"19","Arrastre","AGUA BONITA-PAREDES","Apteronotus milesi",FALSE,19,2,0.6,NA,NA,98.1,0.3,76
"20","Arrastre","AGUA BONITA-PAREDES","Geophagus steindachneri",FALSE,20,1,0.3,NA,NA,98.5,0,80
"21","Arrastre","AGUA BONITA-PAREDES","Farlowella yarigui",FALSE,21,1,0.3,NA,NA,98.8,0,84
"22","Arrastre","AGUA BONITA-PAREDES","Hoplias malabaricus",FALSE,22,1,0.3,NA,NA,99.1,0,88
"23","Arrastre","AGUA BONITA-PAREDES","Hoplosternum magdalenae",FALSE,23,1,0.3,NA,NA,99.4,0,92
"24","Arrastre","AGUA BONITA-PAREDES","Synbranchus marmoratus",FALSE,24,1,0.3,NA,NA,99.7,0,96
"25","Arrastre","AGUA BONITA-PAREDES","Kronoheros umbrifer",FALSE,25,1,0.3,NA,NA,100,0,100
"26","Arrastre","CAÑO NEGRO Y AFLUENTES","Hyphessobrycon natagaima",TRUE,1,612,27.8,NA,NA,27.8,2.8,2.8
"27","Arrastre","CAÑO NEGRO Y AFLUENTES","Nanocheirodon insignis",TRUE,2,203,9.2,NA,NA,37,2.3,5.6
"28","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax sp. 2",TRUE,3,202,9.2,NA,NA,46.1,2.3,8.3
"29","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax magdalenae",FALSE,4,162,7.4,NA,NA,53.5,2.2,11.1
"30","Arrastre","CAÑO NEGRO Y AFLUENTES","Poecilia caucana",FALSE,5,115,5.2,NA,NA,58.7,2.1,13.9
"31","Arrastre","CAÑO NEGRO Y AFLUENTES","Dasyloricaria filamentosa",FALSE,6,112,5.1,NA,NA,63.8,2,16.7
"32","Arrastre","CAÑO NEGRO Y AFLUENTES","Cyphocharax magdalenae",FALSE,7,86,3.9,NA,NA,67.7,1.9,19.4
"33","Arrastre","CAÑO NEGRO Y AFLUENTES","Eigenmannia camposi",FALSE,8,84,3.8,NA,NA,71.5,1.9,22.2
"34","Arrastre","CAÑO NEGRO Y AFLUENTES","Roeboides dayi",FALSE,9,81,3.7,NA,NA,75.2,1.9,25
"35","Arrastre","CAÑO NEGRO Y AFLUENTES","Andinoacara latifrons",FALSE,10,76,3.4,NA,NA,78.6,1.9,27.8
"36","Arrastre","CAÑO NEGRO Y AFLUENTES","Ctenolucius hujeta",FALSE,11,69,3.1,NA,NA,81.8,1.8,30.6
"37","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax yariguies",FALSE,12,56,2.5,NA,NA,84.3,1.7,33.3
"38","Arrastre","CAÑO NEGRO Y AFLUENTES","Rineloricaria magdalenae",FALSE,13,55,2.5,NA,NA,86.8,1.7,36.1
"39","Arrastre","CAÑO NEGRO Y AFLUENTES","Caquetaia kraussii",FALSE,14,52,2.4,NA,NA,89.2,1.7,38.9
"40","Arrastre","CAÑO NEGRO Y AFLUENTES","Rivulus xi",FALSE,15,30,1.4,NA,NA,90.5,1.5,41.7
"41","Arrastre","CAÑO NEGRO Y AFLUENTES","Gasteropelecus maculatus",FALSE,16,28,1.3,NA,NA,91.8,1.4,44.4
"42","Arrastre","CAÑO NEGRO Y AFLUENTES","Trachelyopterus insignis",FALSE,17,24,1.1,NA,NA,92.9,1.4,47.2
"43","Arrastre","CAÑO NEGRO Y AFLUENTES","Characidium zebra",FALSE,18,24,1.1,NA,NA,94,1.4,50
"44","Arrastre","CAÑO NEGRO Y AFLUENTES","Brachyhypopomus occidentalis",FALSE,19,20,0.9,NA,NA,94.9,1.3,52.8
"45","Arrastre","CAÑO NEGRO Y AFLUENTES","Trichopodus pectoralis",FALSE,20,19,0.9,NA,NA,95.7,1.3,55.6
"46","Arrastre","CAÑO NEGRO Y AFLUENTES","Trichopodus trichopterus",FALSE,21,19,0.9,NA,NA,96.6,1.3,58.3
"47","Arrastre","CAÑO NEGRO Y AFLUENTES","Hoplosternum magdalenae",FALSE,22,11,0.5,NA,NA,97.1,1,61.1
"48","Arrastre","CAÑO NEGRO Y AFLUENTES","Bunocephalus colombianus",FALSE,23,10,0.5,NA,NA,97.5,1,63.9
"49","Arrastre","CAÑO NEGRO Y AFLUENTES","Rhamdia guatemalensis",FALSE,24,9,0.4,NA,NA,98,1,66.7
"50","Arrastre","CAÑO NEGRO Y AFLUENTES","Apteronotus milesi",FALSE,25,9,0.4,NA,NA,98.4,1,69.4
"51","Arrastre","CAÑO NEGRO Y AFLUENTES","Hoplias malabaricus",FALSE,26,8,0.4,NA,NA,98.7,0.9,72.2
"52","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax sp. 1",FALSE,27,6,0.3,NA,NA,99,0.8,75
"53","Arrastre","CAÑO NEGRO Y AFLUENTES","Gephyrocharax melanocheir",FALSE,28,6,0.3,NA,NA,99.3,0.8,77.8
"54","Arrastre","CAÑO NEGRO Y AFLUENTES","Saccoderma hastata",FALSE,29,5,0.2,NA,NA,99.5,0.7,80.6
"55","Arrastre","CAÑO NEGRO Y AFLUENTES","Cynopotamus magdalenae",FALSE,30,3,0.1,NA,NA,99.6,0.5,83.3
"56","Arrastre","CAÑO NEGRO Y AFLUENTES","Synbranchus marmoratus",FALSE,31,3,0.1,NA,NA,99.8,0.5,86.1
"57","Arrastre","CAÑO NEGRO Y AFLUENTES","Kronoheros umbrifer",FALSE,32,1,0,NA,NA,99.8,0,88.9
"58","Arrastre","CAÑO NEGRO Y AFLUENTES","Sternopygus aequilabiatus",FALSE,33,1,0,NA,NA,99.9,0,91.7
"59","Arrastre","CAÑO NEGRO Y AFLUENTES","Sturisomatichthys aureus",FALSE,34,1,0,NA,NA,99.9,0,94.4
"60","Arrastre","CAÑO NEGRO Y AFLUENTES","Prochilodus magdalenae",FALSE,35,1,0,NA,NA,100,0,97.2
"61","Arrastre","CAÑO NEGRO Y AFLUENTES","Callichthys oibaensis",FALSE,36,1,0,NA,NA,100,0,100
"62","Arrastre","CAÑO RAICERO","Rineloricaria magdalenae",TRUE,1,1,100,NA,NA,100,0,100
"63","Arrastre","CORREDOR","Hyphessobrycon natagaima",TRUE,1,309,34.4,NA,NA,34.4,2.5,5
"64","Arrastre","CORREDOR","Poecilia caucana",TRUE,2,143,15.9,NA,NA,50.3,2.2,10
"65","Arrastre","CORREDOR","Astyanax magdalenae",TRUE,3,106,11.8,NA,NA,62.1,2,15
"66","Arrastre","CORREDOR","Gephyrocharax melanocheir",FALSE,4,64,7.1,NA,NA,69.3,1.8,20
"67","Arrastre","CORREDOR","Caquetaia kraussii",FALSE,5,48,5.3,NA,NA,74.6,1.7,25
"68","Arrastre","CORREDOR","Andinoacara latifrons",FALSE,6,43,4.8,NA,NA,79.4,1.6,30
"69","Arrastre","CORREDOR","Rivulus xi",FALSE,7,41,4.6,NA,NA,84,1.6,35
"70","Arrastre","CORREDOR","Roeboides dayi",FALSE,8,36,4,NA,NA,88,1.6,40
"71","Arrastre","CORREDOR","Characidium zebra",FALSE,9,28,3.1,NA,NA,91.1,1.4,45
"72","Arrastre","CORREDOR","Brachyhypopomus occidentalis",FALSE,10,26,2.9,NA,NA,94,1.4,50
"73","Arrastre","CORREDOR","Cyphocharax magdalenae",FALSE,11,15,1.7,NA,NA,95.7,1.2,55
"74","Arrastre","CORREDOR","Ctenolucius hujeta",FALSE,12,13,1.4,NA,NA,97.1,1.1,60
"75","Arrastre","CORREDOR","Eigenmannia camposi",FALSE,13,10,1.1,NA,NA,98.2,1,65
"76","Arrastre","CORREDOR","Gasteropelecus maculatus",FALSE,14,5,0.6,NA,NA,98.8,0.7,70
"77","Arrastre","CORREDOR","Rineloricaria magdalenae",FALSE,15,3,0.3,NA,NA,99.1,0.5,75
"78","Arrastre","CORREDOR","Hoplias malabaricus",FALSE,16,2,0.2,NA,NA,99.3,0.3,80
"79","Arrastre","CORREDOR","Rhamdia guatemalensis",FALSE,17,2,0.2,NA,NA,99.6,0.3,85
