"","Caño","Quebrada","Ciénaga","Río Magdalena"
"Cyphocharax magdalenae",98,9,14,1
"Gasteropelecus maculatus",10,92,0,0
"Astyanax magdalenae",130,439,19,3
"Hyphessobrycon natagaima",440,485,250,3
"Caquetaia kraussii",92,63,54,1
"Poecilia caucana",110,209,29,13
"Rineloricaria magdalenae",110,18,0,0
"Andinoacara latifrons",73,85,7,0
"Astyanax sp. 1",7,71,3,41
"Astyanax sp. 2",297,25,34,2
"Astyanax yariguies",0,59,0,0
"Creagrutus affinis",0,7,0,2
"Gephyrocharax melanocheir",5,260,0,0
"Geophagus steindachneri",1,8,0,0
"Rivulus xi",8,74,11,0
"Ctenolucius hujeta",86,18,5,0
"Creagrutus magdalenae",1,14,0,143
"Saccoderma hastata",178,199,0,1
"Eigenmannia camposi",59,93,35,2
"Characidium boavistae",3,0,0,1
"Characidium zebra",80,183,0,4
"Roeboides dayi",58,97,28,2
"Rhamdia guatemalensis",13,3,0,2
"Parodon magdalenensis",0,0,0,2
"Argopleura magdalenensis",0,0,0,331
"Hemibrycon",0,0,0,13
"Trichomycterus sp. 2",0,0,0,1
"Sturisomatichthys aureus",1,24,0,11
"Pimelodella floridablancaensis",0,2,0,8
"Astyanax filiferus",0,14,0,39
"Pimelodus grosskopfii",0,0,0,40
"Pimelodus yuma",0,0,0,74
"Pseudopimelodus atricaudus",0,0,0,5
"Megaleporinus muyscorum",5,0,0,1
"Ancistrus caucanus",0,14,0,2
"Cetopsis othonops",0,0,0,1
"Trachelyopterus insignis",25,0,0,5
"Triportheus magdalenae",0,0,1,14
"Acestrocephalus anomalus",0,0,0,5
"Crossoloricaria variegata",0,0,0,2
"Hoplias malabaricus",8,10,3,0
"Brachyhypopomus occidentalis",7,32,8,0
"Synbranchus marmoratus",6,1,1,0
"Prochilodus magdalenae",10,3,3,0
"Brycon moorei",1,0,0,0
"Nanocheirodon insignis",202,254,2,0
"Hoplosternum magdalenae",33,7,7,0
"Hypostomus hondae",3,2,0,0
"Bunocephalus colombianus",9,14,0,0
"Leporinus striatus",0,4,0,0
"Trichopodus pectoralis",34,0,16,0
"Apteronotus milesi",0,15,0,0
"Callichthys oibaensis",1,0,0,0
"Farlowella yarigui",0,1,0,0
"Kronoheros umbrifer",0,2,0,0
"Sternopygus aequilabiatus",0,2,0,0
"Cynopotamus magdalenae",0,3,0,0
"Dasyloricaria filamentosa",115,0,0,0
"Paravandellia phaneronema",0,19,0,0
"Imparfinis usmai",0,1,0,0
"Trichopodus trichopterus",19,0,0,0
"Dupouyichthys sapito",0,0,0,1
"Cetopsorhamdia molinae",0,0,0,1
"Megalonema xanthum",0,0,0,2
"Curimata mivartii",0,0,0,1
"Apteronotus mariae",0,0,0,1
"Microgenys minuta",0,0,0,1
