"","Caño","Quebrada","Ciénaga","Río Magdalena"
"Cyphocharax magdalenae",377,87,59,6
"Astyanax magdalenae",35,338,42,11
"Andinoacara latifrons",111,68,38,0
"Caquetaia kraussii",41,13,22,0
"Astyanax sp. 1",0,71,0,0
"Geophagus steindachneri",1,9,0,0
"Curimata mivartii",2,0,1,5
"Triportheus magdalenae",0,0,11,58
"Astyanax filiferus",0,30,1,19
"Roeboides dayi",6,31,25,3
"Bunocephalus colombianus",7,8,0,0
"Astyanax yariguies",0,3,0,0
"Gasteropelecus maculatus",0,82,0,0
"Megaleporinus muyscorum",1,0,0,6
"Ichthyoelephas longirostris",0,0,0,1
"Prochilodus magdalenae",7,1,16,7
"Crossoloricaria variegata",0,0,0,5
"Loricariichthys brunneus",0,0,0,1
"Pimelodus grosskopfii",0,0,0,31
"Pimelodus yuma",1,0,0,59
"Pseudopimelodus atricaudus",0,0,0,2
"Argopleura magdalenensis",0,0,0,6
"Cynopotamus magdalenae",0,1,0,4
"Sturisomatichthys aureus",0,66,0,3
"Potamotrygon magdalenae",0,0,0,2
"Crossoloricaria cephalaspis",0,0,0,1
"Dasyloricaria filamentosa",75,3,0,0
"Rhamdia guatemalensis",26,4,0,0
"Astyanax sp. 2",51,13,0,0
"Hoplosternum magdalenae",13,0,0,0
"Rineloricaria magdalenae",94,9,0,0
"Hypostomus hondae",25,11,0,0
"Trichopodus pectoralis",44,0,0,0
"Ancistrus caucanus",0,38,0,0
"Oreochromis niloticus",1,2,0,0
"Hoplias",0,1,0,0
"Ctenolucius hujeta",4,1,1,0
"Trachelyopterus insignis",6,0,0,8
"Leporinus striatus",0,5,0,0
"Hyphessobrycon natagaima",34,0,0,0
"Hoplias malabaricus",13,8,0,0
"Pimelodella floridablancaensis",0,1,0,0
"Trichopodus trichopterus",6,0,0,0
"Sorubim cuspicaudus",0,0,0,1
"Megalonema xanthum",0,0,0,2
"Spatuloricaria gymnogaster",0,0,0,1
"Apteronotus mariae",0,0,0,1
"Sternopygus aequilabiatus",0,0,0,1
"Eigenmannia camposi",0,0,0,2
