"","Caño","Quebrada","Ciénaga"
"Hoplias malabaricus",1,5,0
"Astyanax magdalenae",1,26,0
"Hyphessobrycon natagaima",7,19,1
"Gephyrocharax melanocheir",7,62,0
"Eigenmannia camposi",14,77,0
"Caquetaia kraussii",26,0,0
"Bunocephalus colombianus",0,4,0
"Ctenolucius hujeta",1,1,0
"Gasteropelecus maculatus",0,16,0
"Brachyhypopomus occidentalis",16,193,0
"Farlowella yarigui",0,4,0
"Rineloricaria magdalenae",8,20,0
"Ancistrus caucanus",0,51,0
"Kronoheros umbrifer",0,6,0
"Characidium zebra",31,224,0
"Nanocheirodon insignis",1,6,0
"Saccoderma hastata",11,27,0
"Poecilia caucana",28,109,0
"Andinoacara latifrons",26,20,1
"Rivulus xi",5,126,0
"Megalonema xanthum",0,1,0
"Synbranchus marmoratus",1,4,0
"Astyanax sp. 2",27,3,0
"Roeboides dayi",0,4,0
"Rhamdia guatemalensis",2,12,0
"Geophagus steindachneri",0,6,0
"Astyanax filiferus",0,1,0
"Astyanax sp. 1",0,5,0
"Sternopygus aequilabiatus",0,9,0
"Apteronotus milesi",0,49,0
"Trichomycterus sp. 1",0,16,0
"Sturisomatichthys aureus",0,63,0
"Hypostomus hondae",0,7,0
"Trichomycterus sp. 2",0,5,0
"Pimelodella floridablancaensis",0,1,0
"Cyphocharax magdalenae",21,0,0
"Hoplosternum magdalenae",8,1,0
"Astyanax yariguies",0,2,0
"Imparfinis usmai",22,61,0
"Heptapterinae Gen. nov. et sp. nov.",0,6,0
"Leporinus striatus",0,2,0
"Trichopodus trichopterus",1,0,0
"Creagrutus magdalenae",0,8,0
