"","Ciénaga","Caño","Río Magdalena"
"Cyphocharax magdalenae",17,3,0
"Megaleporinus muyscorum",0,1,4
"Brycon henni",0,2,0
"Rhamdia guatemalensis",0,2,0
"Prochilodus magdalenae",2,0,11
"Triportheus magdalenae",0,0,1
"Trachelyopterus insignis",0,0,18
"Curimata mivartii",2,0,2
"Ctenolucius hujeta",2,14,1
"Sternopygus aequilabiatus",0,0,1
"Cynopotamus magdalenae",0,0,9
"Ageneiosus pardalis",0,0,1
"Pseudopimelodus atricaudus",0,0,1
"Trichopodus pectoralis",4,5,0
"Caquetaia kraussii",16,8,0
"Roeboides dayi",1,0,0
"Hypostomus hondae",0,1,0
"Hypostomus",0,1,0
"Andinoacara latifrons",0,3,0
"Hoplias malabaricus",0,4,0
"Hyphessobrycon natagaima",0,4,0
"Dasyloricaria filamentosa",0,1,0
"Trichopodus trichopterus",0,2,0
"Rineloricaria magdalenae",0,1,0
"Pimelodus yuma",0,0,1
"Pimelodus grosskopfii",0,0,1
