"","Platero","Caracterizacion","Kale"
"Cyphocharax magdalenae",33,2,87
"Gasteropelecus maculatus",40,34,28
"Astyanax magdalenae",304,125,162
"Hyphessobrycon natagaima",509,56,613
"Caquetaia kraussii",119,39,52
"Poecilia caucana",198,47,116
"Rineloricaria magdalenae",61,10,57
"Andinoacara latifrons",64,25,76
"Astyanax sp. 1",64,29,29
"Astyanax sp. 2",151,5,202
"Astyanax yariguies",0,3,56
"Creagrutus affinis",2,7,0
"Gephyrocharax melanocheir",170,89,6
"Geophagus steindachneri",3,6,0
"Rivulus xi",50,13,30
"Ctenolucius hujeta",37,3,69
"Creagrutus magdalenae",98,0,60
"Saccoderma hastata",220,152,6
"Eigenmannia camposi",93,11,85
"Characidium boavistae",3,0,1
"Characidium zebra",156,84,27
"Roeboides dayi",78,24,83
"Rhamdia guatemalensis",8,0,10
"Parodon magdalenensis",1,0,1
"Argopleura magdalenensis",252,0,79
"Hemibrycon",1,0,12
"Trichomycterus sp. 2",0,0,1
"Sturisomatichthys aureus",16,9,11
"Pimelodella floridablancaensis",1,2,7
"Astyanax filiferus",18,5,30
"Pimelodus grosskopfii",9,0,31
"Pimelodus yuma",65,0,9
"Pseudopimelodus atricaudus",0,0,5
"Megaleporinus muyscorum",5,0,1
"Ancistrus caucanus",15,0,1
"Cetopsis othonops",0,0,1
"Trachelyopterus insignis",5,0,25
"Triportheus magdalenae",14,0,1
"Acestrocephalus anomalus",5,0,0
"Crossoloricaria variegata",2,0,0
"Hoplias malabaricus",10,3,8
"Brachyhypopomus occidentalis",16,11,20
"Synbranchus marmoratus",4,1,3
"Prochilodus magdalenae",12,3,1
"Brycon moorei",1,0,0
"Nanocheirodon insignis",193,62,203
"Hoplosternum magdalenae",35,1,11
"Hypostomus hondae",3,2,0
"Bunocephalus colombianus",9,4,10
"Leporinus striatus",2,2,0
"Trichopodus pectoralis",31,0,19
"Apteronotus milesi",2,4,9
"Callichthys oibaensis",0,0,1
"Farlowella yarigui",0,1,0
"Kronoheros umbrifer",0,1,1
"Sternopygus aequilabiatus",0,1,1
"Cynopotamus magdalenae",0,0,3
"Dasyloricaria filamentosa",3,0,112
"Paravandellia phaneronema",0,19,0
"Imparfinis usmai",0,1,0
"Trichopodus trichopterus",0,0,19
"Dupouyichthys sapito",1,0,0
"Cetopsorhamdia molinae",1,0,0
"Megalonema xanthum",1,0,1
"Curimata mivartii",0,0,1
"Apteronotus mariae",0,0,1
"Microgenys minuta",0,0,1
