"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","samplEff.1"
"1","ANH_39","Species richness",4,4.219,0.659,4.011,8.301,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",0.421052631578947
"2","ANH_39","Shannon diversity",3.747,4.729,1.52,3.747,7.709,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",0.421052631578947
"3","ANH_39","Simpson diversity",3.556,5.6,1.629,3.556,8.793,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",0.421052631578947
"4","ANH_43","Species richness",1,1,0.312,1,2.549,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.421052631578947
"5","ANH_43","Shannon diversity",1,0,0,1,0,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.421052631578947
"6","ANH_43","Simpson diversity",1,1,0,1,1,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.421052631578947
"7","ANH_294","Species richness",3,3,0.217,3,3.482,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.315789473684211
"8","ANH_294","Shannon diversity",2.158,2.213,0.238,2.158,2.68,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.315789473684211
"9","ANH_294","Simpson diversity",1.806,1.843,0.259,1.806,2.35,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.315789473684211
"10","ANH_299","Species richness",8,15.826,11.416,8.965,71.461,444.480711593,12749.3470539,158.278254184,4.51532193544,0,1742.63205395,847.197851708,3322.95163624,9362.76645286,9451.11787518,4181.49860241,9453.94201166,1166.79769484,31.11,5.8,20.305,0.1,62,2.897,1.081,5.33,0.068,20.45,1.30102999566398,0.2196,22,0.00158,25.72,0.1,106.98,0,0,2,4,2,0,2.7,"Caracterizacion","SOGAMOSITO-PAREDES","Ciénaga",1
"11","ANH_299","Shannon diversity",4.139,4.875,0.971,4.139,6.778,444.480711593,12749.3470539,158.278254184,4.51532193544,0,1742.63205395,847.197851708,3322.95163624,9362.76645286,9451.11787518,4181.49860241,9453.94201166,1166.79769484,31.11,5.8,20.305,0.1,62,2.897,1.081,5.33,0.068,20.45,1.30102999566398,0.2196,22,0.00158,25.72,0.1,106.98,0,0,2,4,2,0,2.7,"Caracterizacion","SOGAMOSITO-PAREDES","Ciénaga",1
"12","ANH_299","Simpson diversity",3.085,3.234,0.517,3.085,4.248,444.480711593,12749.3470539,158.278254184,4.51532193544,0,1742.63205395,847.197851708,3322.95163624,9362.76645286,9451.11787518,4181.49860241,9453.94201166,1166.79769484,31.11,5.8,20.305,0.1,62,2.897,1.081,5.33,0.068,20.45,1.30102999566398,0.2196,22,0.00158,25.72,0.1,106.98,0,0,2,4,2,0,2.7,"Caracterizacion","SOGAMOSITO-PAREDES","Ciénaga",1
