"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Caño","Species richness",39,54.6,11.796,43.176,97.282,13,157,39,0.9222,13,5,2,7,1,1,2,3,1,2
"2","Caño","Shannon diversity",28.687,33.381,2.493,28.687,38.268,13,157,39,0.9222,13,5,2,7,1,1,2,3,1,2
"3","Caño","Simpson diversity",23.77,25.768,1.579,23.77,28.862,13,157,39,0.9222,13,5,2,7,1,1,2,3,1,2
"4","Ciénaga","Species richness",18,23.143,5.621,18.905,47.229,7,51,18,0.8992,6,3,3,1,4,1,0,0,0,0
"5","Ciénaga","Shannon diversity",14.965,17.972,2.073,14.965,22.036,7,51,18,0.8992,6,3,3,1,4,1,0,0,0,0
"6","Ciénaga","Simpson diversity",13.203,15.114,1.517,13.203,18.086,7,51,18,0.8992,6,3,3,1,4,1,0,0,0,0
"7","Quebrada","Species richness",42,53.344,9.158,44.83,87.474,16,198,42,0.9476,11,5,3,3,5,3,5,2,1,0
"8","Quebrada","Shannon diversity",31.414,35.276,1.982,31.414,39.161,16,198,42,0.9476,11,5,3,3,5,3,5,2,1,0
"9","Quebrada","Simpson diversity",25.997,27.977,1.505,25.997,30.926,16,198,42,0.9476,11,5,3,3,5,3,5,2,1,0
"10","Río Magdalena","Species richness",39,50.378,7.624,42.449,76.535,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"11","Río Magdalena","Shannon diversity",32.45,40.177,3.33,33.649,46.704,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"12","Río Magdalena","Simpson diversity",28.213,32.4,2.159,28.213,36.632,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
