"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","AGUA BONITA-PAREDES","Species richness",25,40.042,10.019,29.587,74.328,2,31,25,0.6243,19,6,0,0,0,0,0,0,0,0
"2","AGUA BONITA-PAREDES","Shannon diversity",23.705,40.042,5.293,29.668,50.415,2,31,25,0.6243,19,6,0,0,0,0,0,0,0,0
"3","AGUA BONITA-PAREDES","Simpson diversity",22.349,39.25,4.769,29.903,48.597,2,31,25,0.6243,19,6,0,0,0,0,0,0,0,0
"4","CAÑO NEGRO Y AFLUENTES","Species richness",38,82.462,34.184,49.692,207.073,13,132,38,0.8749,17,3,3,3,2,3,1,3,2,0
"5","CAÑO NEGRO Y AFLUENTES","Shannon diversity",27.205,35.226,3.931,27.522,42.931,13,132,38,0.8749,17,3,3,3,2,3,1,3,2,0
"6","CAÑO NEGRO Y AFLUENTES","Simpson diversity",22.168,24.483,1.946,22.168,28.298,13,132,38,0.8749,17,3,3,3,2,3,1,3,2,0
"7","CAÑO RAICERO","Species richness",4,4,0,NA,NA,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"8","CAÑO RAICERO","Shannon diversity",4,0,0,4,0,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"9","CAÑO RAICERO","Simpson diversity",4,4,0,4,4,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"10","CORREDOR","Species richness",18,29.25,10.473,20.392,70.921,6,41,18,0.8063,9,3,2,1,2,1,0,0,0,0
"11","CORREDOR","Shannon diversity",14.316,19.58,3.011,14.316,25.482,6,41,18,0.8063,9,3,2,1,2,1,0,0,0,0
"12","CORREDOR","Simpson diversity",11.922,13.833,1.824,11.922,17.408,6,41,18,0.8063,9,3,2,1,2,1,0,0,0,0
"13","LA MORENA-TRECE","Species richness",32,37.444,4.048,33.484,51.979,3,56,32,0.8654,14,12,6,0,0,0,0,0,0,0
"14","LA MORENA-TRECE","Shannon diversity",29.229,36.358,2.814,30.842,41.874,3,56,32,0.8654,14,12,6,0,0,0,0,0,0,0
"15","LA MORENA-TRECE","Simpson diversity",27.034,34.556,2.428,29.798,39.314,3,56,32,0.8654,14,12,6,0,0,0,0,0,0,0
"16","MONTECRISTO-YARIRI","Species richness",21,31.083,8.513,23.394,63.465,3,37,21,0.782,11,4,6,0,0,0,0,0,0,0
"17","MONTECRISTO-YARIRI","Shannon diversity",18.664,25.611,4.233,18.664,33.908,3,37,21,0.782,11,4,6,0,0,0,0,0,0,0
"18","MONTECRISTO-YARIRI","Simpson diversity",16.901,20.515,2.404,16.901,25.228,3,37,21,0.782,11,4,6,0,0,0,0,0,0,0
"19","RIO MAGDALENA","Species richness",39,50.378,7.624,42.449,76.535,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"20","RIO MAGDALENA","Shannon diversity",32.45,40.177,3.328,33.654,46.699,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"21","RIO MAGDALENA","Simpson diversity",28.213,32.4,2.43,28.213,37.164,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"22","SALADO-MAGDALENA","Species richness",29,45,11.075,33.694,83.538,4,53,29,0.7585,16,6,3,4,0,0,0,0,0,0
"23","SALADO-MAGDALENA","Shannon diversity",24.737,35.541,4.597,26.531,44.552,4,53,29,0.7585,16,6,3,4,0,0,0,0,0,0
"24","SALADO-MAGDALENA","Simpson diversity",21.443,26.75,3.365,21.443,33.346,4,53,29,0.7585,16,6,3,4,0,0,0,0,0,0
"25","SOGAMOSITO-PAREDES","Species richness",31,38.67,5.358,33.23,57.388,4,52,31,0.8063,15,11,5,0,0,0,0,0,0,0
"26","SOGAMOSITO-PAREDES","Shannon diversity",28.25,38.569,3.733,31.253,45.885,4,52,31,0.8063,15,11,5,0,0,0,0,0,0,0
"27","SOGAMOSITO-PAREDES","Simpson diversity",26,38.5,3.943,30.771,46.229,4,52,31,0.8063,15,11,5,0,0,0,0,0,0,0
