"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",11,11.246,0.721,11.013,15.682,68,11,0.9861
"2","CORREDOR","Shannon diversity",7.345,7.964,0.846,7.345,9.622,68,11,0.9861
"3","CORREDOR","Simpson diversity",5.544,5.948,0.89,5.544,7.692,68,11,0.9861
"4","AGUA BONITA-PAREDES","Species richness",15,15.88,1.438,15.094,23.223,45,15,0.938
"5","AGUA BONITA-PAREDES","Shannon diversity",12.213,14.684,1.625,12.213,17.87,45,15,0.938
"6","AGUA BONITA-PAREDES","Simpson diversity",10.075,12.692,1.741,10.075,16.104,45,15,0.938
"7","SOGAMOSITO-PAREDES","Species richness",17,29.376,16.973,18.648,109.93,101,17,0.9507
"8","SOGAMOSITO-PAREDES","Shannon diversity",11.082,12.705,1.288,11.082,15.229,101,17,0.9507
"9","SOGAMOSITO-PAREDES","Simpson diversity",8.565,9.266,1.032,8.565,11.288,101,17,0.9507
"10","SALADO-MAGDALENA","Species richness",24,41.966,23.578,26.527,151.728,530,24,0.9887
"11","SALADO-MAGDALENA","Shannon diversity",8.833,9.159,0.505,8.833,10.148,530,24,0.9887
"12","SALADO-MAGDALENA","Simpson diversity",6.679,6.752,0.272,6.679,7.284,530,24,0.9887
"13","CAÑO NEGRO Y AFLUENTES","Species richness",30,50.979,17.446,35.066,116.882,989,30,0.9929
"14","CAÑO NEGRO Y AFLUENTES","Shannon diversity",10.621,10.874,0.464,10.621,11.784,989,30,0.9929
"15","CAÑO NEGRO Y AFLUENTES","Simpson diversity",5.982,6.012,0.355,5.982,6.707,989,30,0.9929
"16","RIO MAGDALENA","Species richness",29,34.047,4.422,30.15,51.156,335,29,0.9733
"17","RIO MAGDALENA","Shannon diversity",10.061,10.638,0.642,10.061,11.898,335,29,0.9733
"18","RIO MAGDALENA","Simpson diversity",6.344,6.448,0.454,6.344,7.337,335,29,0.9733
"19","LA MORENA-TRECE","Species richness",24,25.554,1.947,24.232,34.43,194,24,0.9746
"20","LA MORENA-TRECE","Shannon diversity",12,12.87,0.971,12,14.774,194,24,0.9746
"21","LA MORENA-TRECE","Simpson diversity",8.454,8.793,0.737,8.454,10.238,194,24,0.9746
"22","CAÑO RAICERO","Species richness",1,1,0.284,1,1.799,2,1,1
"23","CAÑO RAICERO","Shannon diversity",1,1,0,1,1,2,1,1
"24","CAÑO RAICERO","Simpson diversity",1,1,0,1,1,2,1,1
"25","MONTECRISTO-YARIRI","Species richness",16,19.976,5.262,16.553,44.56,164,16,0.9758
"26","MONTECRISTO-YARIRI","Shannon diversity",10.459,11.14,0.665,10.459,12.444,164,16,0.9758
"27","MONTECRISTO-YARIRI","Simpson diversity",8.877,9.327,0.641,8.877,10.584,164,16,0.9758
