"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",14,18.095,4.806,14.661,39.374,58,14,0.9156
"2","CORREDOR","Shannon diversity",9.247,10.93,1.563,9.247,13.995,58,14,0.9156
"3","CORREDOR","Simpson diversity",7.281,8.183,1.217,7.281,10.569,58,14,0.9156
"4","AGUA BONITA-PAREDES","Species richness",10,22.083,16.58,11.608,100.789,30,10,0.8356
"5","AGUA BONITA-PAREDES","Shannon diversity",7.203,10.107,2.759,7.203,15.515,30,10,0.8356
"6","AGUA BONITA-PAREDES","Simpson diversity",5.769,6.905,1.623,5.769,10.086,30,10,0.8356
"7","SOGAMOSITO-PAREDES","Species richness",23,42.938,17.233,27.612,109.198,88,23,0.8758
"8","SOGAMOSITO-PAREDES","Shannon diversity",12.731,16.294,2.569,12.731,21.329,88,23,0.8758
"9","SOGAMOSITO-PAREDES","Simpson diversity",7.951,8.641,1.674,7.951,11.922,88,23,0.8758
"10","CAÑO NEGRO Y AFLUENTES","Species richness",11,16.99,7.254,11.93,49.571,24,11,0.7987
"11","CAÑO NEGRO Y AFLUENTES","Shannon diversity",9.221,13.386,3.289,9.221,19.833,24,11,0.7987
"12","CAÑO NEGRO Y AFLUENTES","Simpson diversity",8,11.5,2.843,8,17.072,24,11,0.7987
"13","LA MORENA-TRECE","Species richness",20,33.329,12.309,22.86,82.123,79,20,0.887
"14","LA MORENA-TRECE","Shannon diversity",12.575,15.666,2.298,12.575,20.169,79,20,0.887
"15","LA MORENA-TRECE","Simpson diversity",9.219,10.304,1.493,9.219,13.231,79,20,0.887
"16","MONTECRISTO-YARIRI","Species richness",11,14.954,5.235,11.55,39.419,87,11,0.9546
"17","MONTECRISTO-YARIRI","Shannon diversity",6.133,6.708,0.701,6.133,8.082,87,11,0.9546
"18","MONTECRISTO-YARIRI","Simpson diversity",4.874,5.104,0.498,4.874,6.08,87,11,0.9546
