"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","SOGAMOSITO-PAREDES","Species richness",1,1,0.002,1,1.005,12,1,1
"2","SOGAMOSITO-PAREDES","Shannon diversity",1,1,0,1,1,12,1,1
"3","SOGAMOSITO-PAREDES","Simpson diversity",1,1,0,1,1,12,1,1
"4","SALADO-MAGDALENA","Species richness",7,7.462,0.97,7.036,12.897,13,7,0.8846
"5","SALADO-MAGDALENA","Shannon diversity",6.586,8.772,1.94,6.586,12.575,13,7,0.8846
"6","SALADO-MAGDALENA","Simpson diversity",6.259,11.143,2.222,6.789,15.497,13,7,0.8846
"7","RIO MAGDALENA","Species richness",10,22.188,16.72,11.622,101.551,40,10,0.8763
"8","RIO MAGDALENA","Shannon diversity",6.454,8.32,1.628,6.454,11.511,40,10,0.8763
"9","RIO MAGDALENA","Simpson diversity",5.161,5.778,0.967,5.161,7.674,40,10,0.8763
"10","MONTECRISTO-YARIRI","Species richness",3,3,0.477,3,4.5,12,3,1
"11","MONTECRISTO-YARIRI","Shannon diversity",2.505,2.746,0.407,2.505,3.544,12,3,1
"12","MONTECRISTO-YARIRI","Simpson diversity",2.323,2.64,0.466,2.323,3.553,12,3,1
"13","CAÑO NEGRO Y AFLUENTES","Species richness",8,12.35,6.964,8.478,47.627,30,8,0.9022
"14","CAÑO NEGRO Y AFLUENTES","Shannon diversity",5.521,6.774,1.497,5.521,9.708,30,8,0.9022
"15","CAÑO NEGRO Y AFLUENTES","Simpson diversity",4.369,4.943,1.07,4.369,7.041,30,8,0.9022
