"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","Caño_21","Hyphessobrycon natagaima",TRUE,1,321,25.4,NA,NA,25.4,2.5,3.2
"2","Arrastre","Caño_21","Astyanax sp. 2",TRUE,2,232,18.4,NA,NA,43.8,2.4,6.5
"3","Arrastre","Caño_21","Saccoderma hastata",TRUE,3,122,9.7,NA,NA,53.4,2.1,9.7
"4","Arrastre","Caño_21","Cyphocharax magdalenae",FALSE,4,78,6.2,NA,NA,59.6,1.9,12.9
"5","Arrastre","Caño_21","Nanocheirodon insignis",FALSE,5,70,5.5,NA,NA,65.1,1.8,16.1
"6","Arrastre","Caño_21","Characidium zebra",FALSE,6,69,5.5,NA,NA,70.6,1.8,19.4
"7","Arrastre","Caño_21","Caquetaia kraussii",FALSE,7,64,5.1,NA,NA,75.6,1.8,22.6
"8","Arrastre","Caño_21","Eigenmannia camposi",FALSE,8,46,3.6,NA,NA,79.3,1.7,25.8
"9","Arrastre","Caño_21","Poecilia caucana",FALSE,9,43,3.4,NA,NA,82.7,1.6,29
"10","Arrastre","Caño_21","Rineloricaria magdalenae",FALSE,10,40,3.2,NA,NA,85.8,1.6,32.3
"11","Arrastre","Caño_21","Astyanax magdalenae",FALSE,11,38,3,NA,NA,88.8,1.6,35.5
"12","Arrastre","Caño_21","Ctenolucius hujeta",FALSE,12,27,2.1,NA,NA,91,1.4,38.7
"13","Arrastre","Caño_21","Roeboides dayi",FALSE,13,21,1.7,NA,NA,92.6,1.3,41.9
"14","Arrastre","Caño_21","Trichopodus pectoralis",FALSE,14,18,1.4,NA,NA,94.1,1.3,45.2
"15","Arrastre","Caño_21","Andinoacara latifrons",FALSE,15,16,1.3,NA,NA,95.3,1.2,48.4
"16","Arrastre","Caño_21","Trachelyopterus insignis",FALSE,16,12,0.9,NA,NA,96.3,1.1,51.6
"17","Arrastre","Caño_21","Rhamdia guatemalensis",FALSE,17,8,0.6,NA,NA,96.9,0.9,54.8
"18","Arrastre","Caño_21","Rivulus xi",FALSE,18,6,0.5,NA,NA,97.4,0.8,58.1
"19","Arrastre","Caño_21","Astyanax sp. 1",FALSE,19,6,0.5,NA,NA,97.9,0.8,61.3
"20","Arrastre","Caño_21","Gephyrocharax melanocheir",FALSE,20,4,0.3,NA,NA,98.2,0.6,64.5
"21","Arrastre","Caño_21","Hoplias malabaricus",FALSE,21,3,0.2,NA,NA,98.4,0.5,67.7
"22","Arrastre","Caño_21","Prochilodus magdalenae",FALSE,22,3,0.2,NA,NA,98.7,0.5,71
"23","Arrastre","Caño_21","Gasteropelecus maculatus",FALSE,23,3,0.2,NA,NA,98.9,0.5,74.2
"24","Arrastre","Caño_21","Synbranchus marmoratus",FALSE,24,3,0.2,NA,NA,99.1,0.5,77.4
"25","Arrastre","Caño_21","Characidium boavistae",FALSE,25,3,0.2,NA,NA,99.4,0.5,80.6
"26","Arrastre","Caño_21","Hoplosternum magdalenae",FALSE,26,3,0.2,NA,NA,99.6,0.5,83.9
"27","Arrastre","Caño_21","Creagrutus magdalenae",FALSE,27,1,0.1,NA,NA,99.7,0,87.1
"28","Arrastre","Caño_21","Geophagus steindachneri",FALSE,28,1,0.1,NA,NA,99.8,0,90.3
"29","Arrastre","Caño_21","Sturisomatichthys aureus",FALSE,29,1,0.1,NA,NA,99.8,0,93.5
"30","Arrastre","Caño_21","Brycon moorei",FALSE,30,1,0.1,NA,NA,99.9,0,96.8
"31","Arrastre","Caño_21","Callichthys oibaensis",FALSE,31,1,0.1,NA,NA,100,0,100
"32","Arrastre","Ciénaga_21","Hyphessobrycon natagaima",TRUE,1,128,44.1,NA,NA,44.1,2.1,6.7
"33","Arrastre","Ciénaga_21","Eigenmannia camposi",TRUE,2,35,12.1,NA,NA,56.2,1.5,13.3
"34","Arrastre","Ciénaga_21","Astyanax sp. 2",TRUE,3,34,11.7,NA,NA,67.9,1.5,20
"35","Arrastre","Ciénaga_21","Roeboides dayi",FALSE,4,27,9.3,NA,NA,77.2,1.4,26.7
"36","Arrastre","Ciénaga_21","Astyanax magdalenae",FALSE,5,19,6.6,NA,NA,83.8,1.3,33.3
"37","Arrastre","Ciénaga_21","Cyphocharax magdalenae",FALSE,6,12,4.1,NA,NA,87.9,1.1,40
"38","Arrastre","Ciénaga_21","Caquetaia kraussii",FALSE,7,10,3.4,NA,NA,91.4,1,46.7
"39","Arrastre","Ciénaga_21","Trichopodus pectoralis",FALSE,8,8,2.8,NA,NA,94.1,0.9,53.3
"40","Arrastre","Ciénaga_21","Andinoacara latifrons",FALSE,9,6,2.1,NA,NA,96.2,0.8,60
"41","Arrastre","Ciénaga_21","Ctenolucius hujeta",FALSE,10,3,1,NA,NA,97.2,0.5,66.7
"42","Arrastre","Ciénaga_21","Astyanax sp. 1",FALSE,11,2,0.7,NA,NA,97.9,0.3,73.3
