"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","AGUA BONITA-PAREDES","Gephyrocharax melanocheir",TRUE,1,9,20,NA,NA,20,1,6.7
"2","Arrastre","AGUA BONITA-PAREDES","Rivulus xi",TRUE,2,6,13.3,NA,NA,33.3,0.8,13.3
"3","Arrastre","AGUA BONITA-PAREDES","Hyphessobrycon natagaima",TRUE,3,5,11.1,NA,NA,44.4,0.7,20
"4","Arrastre","AGUA BONITA-PAREDES","Brachyhypopomus occidentalis",FALSE,4,3,6.7,NA,NA,51.1,0.5,26.7
"5","Arrastre","AGUA BONITA-PAREDES","Astyanax sp. 2",FALSE,5,3,6.7,NA,NA,57.8,0.5,33.3
"6","Arrastre","AGUA BONITA-PAREDES","Astyanax sp. 1",FALSE,6,3,6.7,NA,NA,64.4,0.5,40
"7","Arrastre","AGUA BONITA-PAREDES","Gasteropelecus maculatus",FALSE,7,3,6.7,NA,NA,71.1,0.5,46.7
"8","Arrastre","AGUA BONITA-PAREDES","Astyanax magdalenae",FALSE,8,2,4.4,NA,NA,75.6,0.3,53.3
"9","Arrastre","AGUA BONITA-PAREDES","Poecilia caucana",FALSE,9,2,4.4,NA,NA,80,0.3,60
"10","Arrastre","AGUA BONITA-PAREDES","Eigenmannia camposi",FALSE,10,2,4.4,NA,NA,84.4,0.3,66.7
"11","Arrastre","AGUA BONITA-PAREDES","Caquetaia kraussii",FALSE,11,2,4.4,NA,NA,88.9,0.3,73.3
"12","Arrastre","AGUA BONITA-PAREDES","Creagrutus affinis",FALSE,12,2,4.4,NA,NA,93.3,0.3,80
"13","Arrastre","AGUA BONITA-PAREDES","Astyanax yariguies",FALSE,13,1,2.2,NA,NA,95.6,0,86.7
"14","Arrastre","AGUA BONITA-PAREDES","Geophagus steindachneri",FALSE,14,1,2.2,NA,NA,97.8,0,93.3
"15","Arrastre","AGUA BONITA-PAREDES","Apteronotus milesi",FALSE,15,1,2.2,NA,NA,100,0,100
"16","Arrastre","CAÑO NEGRO Y AFLUENTES","Hyphessobrycon natagaima",TRUE,1,347,35.1,NA,NA,35.1,2.5,3.3
"17","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax sp. 2",TRUE,2,155,15.7,NA,NA,50.8,2.2,6.7
"18","Arrastre","CAÑO NEGRO Y AFLUENTES","Cyphocharax magdalenae",TRUE,3,72,7.3,NA,NA,58,1.9,10
"19","Arrastre","CAÑO NEGRO Y AFLUENTES","Poecilia caucana",FALSE,4,54,5.5,NA,NA,63.5,1.7,13.3
"20","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax yariguies",FALSE,5,52,5.3,NA,NA,68.8,1.7,16.7
"21","Arrastre","CAÑO NEGRO Y AFLUENTES","Roeboides dayi",FALSE,6,45,4.6,NA,NA,73.3,1.7,20
"22","Arrastre","CAÑO NEGRO Y AFLUENTES","Caquetaia kraussii",FALSE,7,43,4.3,NA,NA,77.7,1.6,23.3
"23","Arrastre","CAÑO NEGRO Y AFLUENTES","Eigenmannia camposi",FALSE,8,35,3.5,NA,NA,81.2,1.5,26.7
"24","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax magdalenae",FALSE,9,31,3.1,NA,NA,84.3,1.5,30
"25","Arrastre","CAÑO NEGRO Y AFLUENTES","Andinoacara latifrons",FALSE,10,22,2.2,NA,NA,86.6,1.3,33.3
"26","Arrastre","CAÑO NEGRO Y AFLUENTES","Rineloricaria magdalenae",FALSE,11,21,2.1,NA,NA,88.7,1.3,36.7
"27","Arrastre","CAÑO NEGRO Y AFLUENTES","Nanocheirodon insignis",FALSE,12,20,2,NA,NA,90.7,1.3,40
"28","Arrastre","CAÑO NEGRO Y AFLUENTES","Ctenolucius hujeta",FALSE,13,16,1.6,NA,NA,92.3,1.2,43.3
"29","Arrastre","CAÑO NEGRO Y AFLUENTES","Rivulus xi",FALSE,14,16,1.6,NA,NA,93.9,1.2,46.7
"30","Arrastre","CAÑO NEGRO Y AFLUENTES","Trachelyopterus insignis",FALSE,15,11,1.1,NA,NA,95,1,50
"31","Arrastre","CAÑO NEGRO Y AFLUENTES","Characidium zebra",FALSE,16,9,0.9,NA,NA,96,1,53.3
"32","Arrastre","CAÑO NEGRO Y AFLUENTES","Rhamdia guatemalensis",FALSE,17,8,0.8,NA,NA,96.8,0.9,56.7
"33","Arrastre","CAÑO NEGRO Y AFLUENTES","Astyanax sp. 1",FALSE,18,6,0.6,NA,NA,97.4,0.8,60
"34","Arrastre","CAÑO NEGRO Y AFLUENTES","Gephyrocharax melanocheir",FALSE,19,5,0.5,NA,NA,97.9,0.7,63.3
"35","Arrastre","CAÑO NEGRO Y AFLUENTES","Gasteropelecus maculatus",FALSE,20,4,0.4,NA,NA,98.3,0.6,66.7
"36","Arrastre","CAÑO NEGRO Y AFLUENTES","Trichopodus pectoralis",FALSE,21,4,0.4,NA,NA,98.7,0.6,70
"37","Arrastre","CAÑO NEGRO Y AFLUENTES","Hoplias malabaricus",FALSE,22,3,0.3,NA,NA,99,0.5,73.3
"38","Arrastre","CAÑO NEGRO Y AFLUENTES","Synbranchus marmoratus",FALSE,23,3,0.3,NA,NA,99.3,0.5,76.7
"39","Arrastre","CAÑO NEGRO Y AFLUENTES","Brachyhypopomus occidentalis",FALSE,24,1,0.1,NA,NA,99.4,0,80
"40","Arrastre","CAÑO NEGRO Y AFLUENTES","Saccoderma hastata",FALSE,25,1,0.1,NA,NA,99.5,0,83.3
