"","Caño","Quebrada","Ciénaga","Río Magdalena"
"Cyphocharax magdalenae",78,0,12,0
"Gasteropelecus maculatus",3,12,0,0
"Astyanax magdalenae",38,71,19,3
"Hyphessobrycon natagaima",321,17,128,2
"Caquetaia kraussii",64,6,10,1
"Poecilia caucana",43,56,1,12
"Rineloricaria magdalenae",40,10,0,0
"Andinoacara latifrons",16,18,6,0
"Astyanax sp. 1",6,11,2,35
"Astyanax sp. 2",232,18,34,2
"Astyanax yariguies",0,53,0,0
"Creagrutus affinis",0,7,0,2
"Gephyrocharax melanocheir",4,45,0,0
"Geophagus steindachneri",1,6,0,0
"Rivulus xi",6,23,0,0
"Ctenolucius hujeta",27,0,3,0
"Creagrutus magdalenae",1,0,0,93
"Saccoderma hastata",122,58,0,1
"Eigenmannia camposi",46,16,35,0
"Characidium boavistae",3,0,0,1
"Characidium zebra",69,42,0,4
"Roeboides dayi",21,10,27,0
"Rhamdia guatemalensis",8,2,0,1
"Parodon magdalenensis",0,0,0,2
"Argopleura magdalenensis",0,0,0,76
"Hemibrycon",0,0,0,13
"Trichomycterus sp. 2",0,0,0,1
"Sturisomatichthys aureus",1,9,0,11
"Pimelodella floridablancaensis",0,1,0,8
"Astyanax filiferus",0,10,0,2
"Pimelodus grosskopfii",0,0,0,15
"Pimelodus yuma",0,0,0,35
"Pseudopimelodus atricaudus",0,0,0,1
"Megaleporinus muyscorum",0,0,0,1
"Ancistrus caucanus",0,2,0,2
"Cetopsis othonops",0,0,0,1
"Trachelyopterus insignis",12,0,0,1
"Triportheus magdalenae",0,0,0,2
"Acestrocephalus anomalus",0,0,0,5
"Crossoloricaria variegata",0,0,0,2
"Hoplias malabaricus",3,3,2,0
"Brachyhypopomus occidentalis",0,5,0,0
"Synbranchus marmoratus",3,0,1,0
"Prochilodus magdalenae",3,0,2,0
"Brycon moorei",1,0,0,0
"Nanocheirodon insignis",70,22,0,0
"Hoplosternum magdalenae",3,0,0,0
"Hypostomus hondae",0,1,0,0
"Bunocephalus colombianus",0,2,0,0
"Leporinus striatus",0,1,0,0
"Trichopodus pectoralis",18,0,8,0
"Apteronotus milesi",0,2,0,0
"Callichthys oibaensis",1,0,0,0
