"","Caño","Quebrada","Ciénaga"
"Hoplias malabaricus",1,1,0
"Astyanax magdalenae",1,11,0
"Hyphessobrycon natagaima",7,11,1
"Gephyrocharax melanocheir",6,6,0
"Eigenmannia camposi",5,13,0
"Caquetaia kraussii",22,0,0
"Bunocephalus colombianus",0,4,0
"Ctenolucius hujeta",1,1,0
"Gasteropelecus maculatus",0,15,0
"Brachyhypopomus occidentalis",0,17,0
"Farlowella yarigui",0,2,0
"Rineloricaria magdalenae",1,3,0
"Ancistrus caucanus",0,20,0
"Kronoheros umbrifer",0,2,0
"Characidium zebra",4,30,0
"Nanocheirodon insignis",1,2,0
"Saccoderma hastata",11,21,0
"Poecilia caucana",5,23,0
"Andinoacara latifrons",15,5,1
"Rivulus xi",2,3,0
"Megalonema xanthum",0,1,0
"Synbranchus marmoratus",1,1,0
"Astyanax sp. 2",27,3,0
"Roeboides dayi",0,1,0
"Rhamdia guatemalensis",2,2,0
"Geophagus steindachneri",0,5,0
"Astyanax filiferus",0,1,0
"Astyanax sp. 1",0,4,0
"Sternopygus aequilabiatus",0,1,0
"Apteronotus milesi",0,8,0
"Trichomycterus sp. 1",0,1,0
"Sturisomatichthys aureus",0,7,0
"Hypostomus hondae",0,1,0
"Trichomycterus sp. 2",0,1,0
"Pimelodella floridablancaensis",0,1,0
"Cyphocharax magdalenae",21,0,0
"Hoplosternum magdalenae",1,0,0
"Astyanax yariguies",0,2,0
