"","Ciénaga","Caño","Río Magdalena"
"Cyphocharax magdalenae",17,3,0
"Megaleporinus muyscorum",0,1,4
"Brycon henni",0,2,0
"Rhamdia guatemalensis",0,2,0
"Prochilodus magdalenae",2,0,11
"Triportheus magdalenae",0,0,1
"Trachelyopterus insignis",0,0,10
"Curimata mivartii",2,0,2
"Ctenolucius hujeta",1,9,1
"Sternopygus aequilabiatus",0,0,1
"Cynopotamus magdalenae",0,0,8
"Ageneiosus pardalis",0,0,1
"Pseudopimelodus atricaudus",0,0,1
"Trichopodus pectoralis",3,3,0
"Caquetaia kraussii",12,6,0
"Roeboides dayi",1,0,0
"Hypostomus hondae",0,1,0
"Hypostomus",0,1,0
"Andinoacara latifrons",0,1,0
