"","Platero","Caracterizacion","Kale"
"Cyphocharax magdalenae",18,0,72
"Gasteropelecus maculatus",7,4,4
"Astyanax magdalenae",81,19,31
"Hyphessobrycon natagaima",116,5,347
"Caquetaia kraussii",35,3,43
"Poecilia caucana",53,4,55
"Rineloricaria magdalenae",22,5,23
"Andinoacara latifrons",8,10,22
"Astyanax sp. 1",20,9,25
"Astyanax sp. 2",128,3,155
"Astyanax yariguies",0,1,52
"Creagrutus affinis",2,7,0
"Gephyrocharax melanocheir",31,13,5
"Geophagus steindachneri",3,4,0
"Rivulus xi",7,6,16
"Ctenolucius hujeta",14,0,16
"Creagrutus magdalenae",74,0,20
"Saccoderma hastata",158,21,2
"Eigenmannia camposi",60,2,35
"Characidium boavistae",3,0,1
"Characidium zebra",89,14,12
"Roeboides dayi",10,3,45
"Rhamdia guatemalensis",2,0,9
"Parodon magdalenensis",1,0,1
"Argopleura magdalenensis",61,0,15
"Hemibrycon",1,0,12
"Trichomycterus sp. 2",0,0,1
"Sturisomatichthys aureus",4,6,11
"Pimelodella floridablancaensis",1,1,7
"Astyanax filiferus",9,1,2
"Pimelodus grosskopfii",9,0,6
"Pimelodus yuma",28,0,7
"Pseudopimelodus atricaudus",0,0,1
"Megaleporinus muyscorum",0,0,1
"Ancistrus caucanus",3,0,1
"Cetopsis othonops",0,0,1
"Trachelyopterus insignis",1,0,12
"Triportheus magdalenae",2,0,0
"Acestrocephalus anomalus",5,0,0
"Crossoloricaria variegata",2,0,0
"Hoplias malabaricus",5,0,3
"Brachyhypopomus occidentalis",1,3,1
"Synbranchus marmoratus",1,0,3
"Prochilodus magdalenae",5,0,0
"Brycon moorei",1,0,0
"Nanocheirodon insignis",72,0,20
"Hoplosternum magdalenae",2,0,1
"Hypostomus hondae",0,1,0
"Bunocephalus colombianus",1,0,1
"Leporinus striatus",1,0,0
"Trichopodus pectoralis",22,0,4
"Apteronotus milesi",0,1,1
"Callichthys oibaensis",0,0,1
