"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","samplEff.1"
"1","ANH_40","Species richness",11,15.444,7.108,11.488,51.434,8589.42416737,4182.06518742,5044.71469953,3.45538576769,3.45538576769,264.388972017,3865.38412882,178.876064442,4295.83935212,4477.80598943,2992.4377308,545.240105442,4699.93607837,26.88,6.34,23.235,0.225,54,1.785,1.039,4.92,0.058,61.2,1.25527250510331,0.2331,8,0.00477,21.3,1.83,49.7,0.05,0,4,3,1.5,4.5,1.5,"Platero","CORREDOR","Quebrada",0.166666666666667
"2","ANH_40","Shannon diversity",7.144,7.863,0.798,7.144,9.428,8589.42416737,4182.06518742,5044.71469953,3.45538576769,3.45538576769,264.388972017,3865.38412882,178.876064442,4295.83935212,4477.80598943,2992.4377308,545.240105442,4699.93607837,26.88,6.34,23.235,0.225,54,1.785,1.039,4.92,0.058,61.2,1.25527250510331,0.2331,8,0.00477,21.3,1.83,49.7,0.05,0,4,3,1.5,4.5,1.5,"Platero","CORREDOR","Quebrada",0.166666666666667
"3","ANH_40","Simpson diversity",5.882,6.27,0.659,5.882,7.562,8589.42416737,4182.06518742,5044.71469953,3.45538576769,3.45538576769,264.388972017,3865.38412882,178.876064442,4295.83935212,4477.80598943,2992.4377308,545.240105442,4699.93607837,26.88,6.34,23.235,0.225,54,1.785,1.039,4.92,0.058,61.2,1.25527250510331,0.2331,8,0.00477,21.3,1.83,49.7,0.05,0,4,3,1.5,4.5,1.5,"Platero","CORREDOR","Quebrada",0.166666666666667
"4","ANH_42","Species richness",13,13.997,2.278,13.071,27.11,2941.05612902,5141.28023588,5796.25911288,0,0,78.6478687443,4414.21540001,5219.16722916,1745.70392047,3095.28445923,7251.98893563,5020.46600751,483.08649135,26.7,3.4,0,0,0,0,0,0,0,0,1.30102999566398,0.3073,26,0.00726,19.98,2.16,25.82,0.1,0,2,2,1.8,7,1.8,"Platero","CORREDOR","Quebrada",0.5
"5","ANH_42","Shannon diversity",6.563,6.679,0.3,6.563,7.268,2941.05612902,5141.28023588,5796.25911288,0,0,78.6478687443,4414.21540001,5219.16722916,1745.70392047,3095.28445923,7251.98893563,5020.46600751,483.08649135,26.7,3.4,0,0,0,0,0,0,0,0,1.30102999566398,0.3073,26,0.00726,19.98,2.16,25.82,0.1,0,2,2,1.8,7,1.8,"Platero","CORREDOR","Quebrada",0.5
"6","ANH_42","Simpson diversity",4.6,4.642,0.322,4.6,5.273,2941.05612902,5141.28023588,5796.25911288,0,0,78.6478687443,4414.21540001,5219.16722916,1745.70392047,3095.28445923,7251.98893563,5020.46600751,483.08649135,26.7,3.4,0,0,0,0,0,0,0,0,1.30102999566398,0.3073,26,0.00726,19.98,2.16,25.82,0.1,0,2,2,1.8,7,1.8,"Platero","CORREDOR","Quebrada",0.5
"7","ANH_43","Species richness",13,15.238,3.38,13.264,31.953,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.75
"8","ANH_43","Shannon diversity",6.496,6.762,0.474,6.496,7.69,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.75
"9","ANH_43","Simpson diversity",5.032,5.139,0.325,5.032,5.775,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.75
"10","ANH_293","Species richness",18,22.147,4.862,18.67,43.661,7472.1813729,11674.3676568,43.6788631477,0,0,79.8352198894,2807.20629822,2178.52760567,4480.77421019,8921.86183718,365.745970207,2780.42900503,5224.69535484,27.7,5.52,26.27,0.125,42,2.02,1.21,3.77,0.065,12.24,1.30102999566398,0,0,0,0,0,0,0.05,0,2,2,0.6,2.5,1.62,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.5
