"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","LA MORENA-TRECE","Species richness",14,14.996,2.28,14.07,28.125,260,14,0.9924
"2","LA MORENA-TRECE","Shannon diversity",5.463,5.624,0.405,5.463,6.417,260,14,0.9924
"3","LA MORENA-TRECE","Simpson diversity",3.244,3.272,0.29,3.244,3.841,260,14,0.9924
"4","CAÑO NEGRO Y AFLUENTES","Species richness",16,16.997,2.289,16.07,30.191,378,16,0.9947
"5","CAÑO NEGRO Y AFLUENTES","Shannon diversity",9.775,9.997,0.414,9.775,10.809,378,16,0.9947
"6","CAÑO NEGRO Y AFLUENTES","Simpson diversity",7.712,7.852,0.491,7.712,8.813,378,16,0.9947
"7","SOGAMOSITO-PAREDES","Species richness",16,28.424,17.037,17.655,109.281,165,16,0.9698
"8","SOGAMOSITO-PAREDES","Shannon diversity",7.308,7.921,0.849,7.308,9.585,165,16,0.9698
"9","SOGAMOSITO-PAREDES","Simpson diversity",4.873,4.991,0.513,4.873,5.997,165,16,0.9698
"10","SALADO-MAGDALENA","Species richness",9,11.228,3.366,9.263,27.874,102,9,0.971
"11","SALADO-MAGDALENA","Shannon diversity",2.356,2.495,0.334,2.356,3.15,102,9,0.971
"12","SALADO-MAGDALENA","Simpson diversity",1.53,1.538,0.147,1.53,1.826,102,9,0.971
"13","CORREDOR","Species richness",6,6.486,1.29,6.029,14.241,35,6,0.973
"14","CORREDOR","Shannon diversity",4.332,4.724,0.708,4.332,6.112,35,6,0.973
"15","CORREDOR","Simpson diversity",3.551,3.839,0.671,3.551,5.154,35,6,0.973
"16","MONTECRISTO-YARIRI","Species richness",7,7.496,1.313,7.029,15.38,113,7,0.9913
"17","MONTECRISTO-YARIRI","Shannon diversity",4.115,4.246,0.36,4.115,4.951,113,7,0.9913
"18","MONTECRISTO-YARIRI","Simpson diversity",3.214,3.279,0.332,3.214,3.929,113,7,0.9913
"19","CAÑO RAICERO","Species richness",9,9,0.402,9,9.982,52,9,1
"20","CAÑO RAICERO","Shannon diversity",8.16,8.84,0.519,8.16,9.857,52,9,1
"21","CAÑO RAICERO","Simpson diversity",7.553,8.667,0.82,7.553,10.274,52,9,1
"22","RIO MAGDALENA","Species richness",19,34.863,16.356,21.992,103.092,117,19,0.9319
"23","RIO MAGDALENA","Shannon diversity",8.666,10.038,1.315,8.666,12.616,117,19,0.9319
"24","RIO MAGDALENA","Simpson diversity",5.636,5.87,0.755,5.636,7.35,117,19,0.9319
