"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_10_D","Species richness",7,7,0.529,7,8.55,"ANH_10","Ar_At",0.833333333333333
"2","ANH_10_D","Shannon diversity",4.013,4.165,0.416,4.013,4.981,"ANH_10","Ar_At",0.833333333333333
"3","ANH_10_D","Simpson diversity",2.78,2.84,0.387,2.78,3.599,"ANH_10","Ar_At",0.833333333333333
"4","ANH_11_D","Species richness",17,22.966,7.187,17.932,55.164,"ANH_11","Ar_At",0.266666666666667
"5","ANH_11_D","Shannon diversity",10.189,10.89,0.748,10.189,12.356,"ANH_11","Ar_At",0.266666666666667
"6","ANH_11_D","Simpson diversity",7.988,8.325,0.659,7.988,9.616,"ANH_11","Ar_At",0.266666666666667
"7","ANH_12_D","Species richness",17,23.224,7.522,17.969,56.976,"ANH_12","Ar_At",0.833333333333333
"8","ANH_12_D","Shannon diversity",5.641,5.929,0.529,5.641,6.966,"ANH_12","Ar_At",0.833333333333333
"9","ANH_12_D","Simpson diversity",3.374,3.407,0.29,3.374,3.975,"ANH_12","Ar_At",0.833333333333333
"10","ANH_13_D","Species richness",12,14.225,3.362,12.263,30.853,"ANH_13","Ar_At",0.833333333333333
"11","ANH_13_D","Shannon diversity",7.814,8.477,0.761,7.814,9.97,"ANH_13","Ar_At",0.833333333333333
"12","ANH_13_D","Simpson diversity",6.48,6.905,0.637,6.48,8.153,"ANH_13","Ar_At",0.833333333333333
"13","ANH_15_D","Species richness",8,8,0.217,8,8.479,"ANH_15","Ar_At",0.555555555555556
"14","ANH_15_D","Shannon diversity",5.691,5.755,0.216,5.691,6.179,"ANH_15","Ar_At",0.555555555555556
"15","ANH_15_D","Simpson diversity",4.585,4.638,0.304,4.585,5.233,"ANH_15","Ar_At",0.555555555555556
"16","ANH_18_D","Species richness",9,9.984,1.845,9.089,19.915,"ANH_18","Ar_At",0.833333333333333
"17","ANH_18_D","Shannon diversity",4.004,4.349,0.683,4.004,5.687,"ANH_18","Ar_At",0.833333333333333
"18","ANH_18_D","Simpson diversity",2.43,2.49,0.454,2.43,3.379,"ANH_18","Ar_At",0.833333333333333
"19","ANH_19_D","Species richness",20,60.3,48.848,26.252,279.762,"ANH_19","Ar_At",0.75
"20","ANH_19_D","Shannon diversity",8.383,9.4,0.926,8.383,11.215,"ANH_19","Ar_At",0.75
"21","ANH_19_D","Simpson diversity",6.043,6.199,0.468,6.043,7.116,"ANH_19","Ar_At",0.75
"22","ANH_20_D","Species richness",11,22.76,12.647,13.11,76.553,"ANH_20","Ar_At",0.611111111111111
"23","ANH_20_D","Shannon diversity",7.482,11.857,4.34,7.482,20.363,"ANH_20","Ar_At",0.611111111111111
