"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Arrastre","Caracterizacion","Saccoderma hastata",TRUE,1,131,17.5,NA,NA,17.5,2.1,2.7
"2","Arrastre","Caracterizacion","Astyanax magdalenae",TRUE,2,106,14.1,NA,NA,31.6,2,5.4
"3","Arrastre","Caracterizacion","Gephyrocharax melanocheir",TRUE,3,76,10.1,NA,NA,41.7,1.9,8.1
"4","Arrastre","Caracterizacion","Characidium zebra",FALSE,4,70,9.3,NA,NA,51.1,1.8,10.8
"5","Arrastre","Caracterizacion","Nanocheirodon insignis",FALSE,5,62,8.3,NA,NA,59.3,1.8,13.5
"6","Arrastre","Caracterizacion","Hyphessobrycon natagaima",FALSE,6,51,6.8,NA,NA,66.1,1.7,16.2
"7","Arrastre","Caracterizacion","Poecilia caucana",FALSE,7,43,5.7,NA,NA,71.9,1.6,18.9
"8","Arrastre","Caracterizacion","Caquetaia kraussii",FALSE,8,36,4.8,NA,NA,76.7,1.6,21.6
"9","Arrastre","Caracterizacion","Gasteropelecus maculatus",FALSE,9,30,4,NA,NA,80.7,1.5,24.3
"10","Arrastre","Caracterizacion","Roeboides dayi",FALSE,10,21,2.8,NA,NA,83.5,1.3,27
"11","Arrastre","Caracterizacion","Astyanax sp. 1",FALSE,11,20,2.7,NA,NA,86.1,1.3,29.7
"12","Arrastre","Caracterizacion","Paravandellia phaneronema",FALSE,12,19,2.5,NA,NA,88.7,1.3,32.4
"13","Arrastre","Caracterizacion","Andinoacara latifrons",FALSE,13,15,2,NA,NA,90.7,1.2,35.1
"14","Arrastre","Caracterizacion","Eigenmannia camposi",FALSE,14,9,1.2,NA,NA,91.9,1,37.8
"15","Arrastre","Caracterizacion","Brachyhypopomus occidentalis",FALSE,15,8,1.1,NA,NA,92.9,0.9,40.5
"16","Arrastre","Caracterizacion","Rivulus xi",FALSE,16,7,0.9,NA,NA,93.9,0.8,43.2
"17","Arrastre","Caracterizacion","Rineloricaria magdalenae",FALSE,17,5,0.7,NA,NA,94.5,0.7,45.9
"18","Arrastre","Caracterizacion","Astyanax filiferus",FALSE,18,4,0.5,NA,NA,95.1,0.6,48.6
"19","Arrastre","Caracterizacion","Bunocephalus colombianus",FALSE,19,4,0.5,NA,NA,95.6,0.6,51.4
"20","Arrastre","Caracterizacion","Sturisomatichthys aureus",FALSE,20,3,0.4,NA,NA,96,0.5,54.1
"21","Arrastre","Caracterizacion","Prochilodus magdalenae",FALSE,21,3,0.4,NA,NA,96.4,0.5,56.8
"22","Arrastre","Caracterizacion","Hoplias malabaricus",FALSE,22,3,0.4,NA,NA,96.8,0.5,59.5
"23","Arrastre","Caracterizacion","Apteronotus milesi",FALSE,23,3,0.4,NA,NA,97.2,0.5,62.2
"24","Arrastre","Caracterizacion","Ctenolucius hujeta",FALSE,24,3,0.4,NA,NA,97.6,0.5,64.9
"25","Arrastre","Caracterizacion","Cyphocharax magdalenae",FALSE,25,2,0.3,NA,NA,97.9,0.3,67.6
"26","Arrastre","Caracterizacion","Astyanax yariguies",FALSE,26,2,0.3,NA,NA,98.1,0.3,70.3
"27","Arrastre","Caracterizacion","Astyanax sp. 2",FALSE,27,2,0.3,NA,NA,98.4,0.3,73
"28","Arrastre","Caracterizacion","Geophagus steindachneri",FALSE,28,2,0.3,NA,NA,98.7,0.3,75.7
"29","Arrastre","Caracterizacion","Leporinus striatus",FALSE,29,2,0.3,NA,NA,98.9,0.3,78.4
"30","Arrastre","Caracterizacion","Farlowella yarigui",FALSE,30,1,0.1,NA,NA,99.1,0,81.1
"31","Arrastre","Caracterizacion","Kronoheros umbrifer",FALSE,31,1,0.1,NA,NA,99.2,0,83.8
"32","Arrastre","Caracterizacion","Hypostomus hondae",FALSE,32,1,0.1,NA,NA,99.3,0,86.5
"33","Arrastre","Caracterizacion","Imparfinis usmai",FALSE,33,1,0.1,NA,NA,99.5,0,89.2
"34","Arrastre","Caracterizacion","Pimelodella floridablancaensis",FALSE,34,1,0.1,NA,NA,99.6,0,91.9
"35","Arrastre","Caracterizacion","Synbranchus marmoratus",FALSE,35,1,0.1,NA,NA,99.7,0,94.6
"36","Arrastre","Caracterizacion","Hoplosternum magdalenae",FALSE,36,1,0.1,NA,NA,99.9,0,97.3
"37","Arrastre","Caracterizacion","Sternopygus aequilabiatus",FALSE,37,1,0.1,NA,NA,100,0,100
"38","Arrastre","Kale","Hyphessobrycon natagaima",TRUE,1,266,19.1,NA,NA,19.1,2.4,2.3
"39","Arrastre","Kale","Nanocheirodon insignis",TRUE,2,183,13.1,NA,NA,32.3,2.3,4.5
"40","Arrastre","Kale","Astyanax magdalenae",TRUE,3,131,9.4,NA,NA,41.7,2.1,6.8
"41","Arrastre","Kale","Dasyloricaria filamentosa",FALSE,4,112,8,NA,NA,49.7,2,9.1
"42","Arrastre","Kale","Argopleura magdalenensis",FALSE,5,64,4.6,NA,NA,54.3,1.8,11.4
"43","Arrastre","Kale","Poecilia caucana",FALSE,6,61,4.4,NA,NA,58.7,1.8,13.6
"44","Arrastre","Kale","Andinoacara latifrons",FALSE,7,54,3.9,NA,NA,62.6,1.7,15.9
"45","Arrastre","Kale","Ctenolucius hujeta",FALSE,8,53,3.8,NA,NA,66.4,1.7,18.2
"46","Arrastre","Kale","Eigenmannia camposi",FALSE,9,50,3.6,NA,NA,70,1.7,20.5
"47","Arrastre","Kale","Astyanax sp. 2",FALSE,10,47,3.4,NA,NA,73.3,1.7,22.7
"48","Arrastre","Kale","Creagrutus magdalenae",FALSE,11,40,2.9,NA,NA,76.2,1.6,25
"49","Arrastre","Kale","Roeboides dayi",FALSE,12,38,2.7,NA,NA,79,1.6,27.3
"50","Arrastre","Kale","Rineloricaria magdalenae",FALSE,13,34,2.4,NA,NA,81.4,1.5,29.5
"51","Arrastre","Kale","Astyanax filiferus",FALSE,14,28,2,NA,NA,83.4,1.4,31.8
"52","Arrastre","Kale","Pimelodus grosskopfii",FALSE,15,25,1.8,NA,NA,85.2,1.4,34.1
"53","Arrastre","Kale","Gasteropelecus maculatus",FALSE,16,24,1.7,NA,NA,86.9,1.4,36.4
"54","Arrastre","Kale","Trichopodus trichopterus",FALSE,17,19,1.4,NA,NA,88.3,1.3,38.6
"55","Arrastre","Kale","Brachyhypopomus occidentalis",FALSE,18,19,1.4,NA,NA,89.7,1.3,40.9
"56","Arrastre","Kale","Trichopodus pectoralis",FALSE,19,15,1.1,NA,NA,90.7,1.2,43.2
"57","Arrastre","Kale","Characidium zebra",FALSE,20,15,1.1,NA,NA,91.8,1.2,45.5
