"","Quebrada","Ciénaga","Caño","Río Magdalena"
"Andinoacara latifrons",67,1,57,0
"Brachyhypopomus occidentalis",27,8,7,0
"Caquetaia kraussii",57,44,28,0
"Poecilia caucana",153,28,67,1
"Rivulus xi",51,11,2,0
"Gephyrocharax melanocheir",215,0,1,0
"Roeboides dayi",87,1,37,2
"Gasteropelecus maculatus",80,0,7,0
"Ctenolucius hujeta",18,2,59,0
"Hoplosternum magdalenae",7,7,30,0
"Characidium zebra",141,0,11,0
"Astyanax magdalenae",368,0,92,0
"Hyphessobrycon natagaima",468,122,119,1
"Cyphocharax magdalenae",9,2,20,1
"Eigenmannia camposi",77,0,13,2
"Astyanax sp. 1",60,1,1,6
"Hoplias malabaricus",7,1,5,0
"Astyanax yariguies",6,0,0,0
"Farlowella yarigui",1,0,0,0
"Kronoheros umbrifer",2,0,0,0
"Saccoderma hastata",141,0,56,0
"Nanocheirodon insignis",232,2,132,0
"Synbranchus marmoratus",1,0,3,0
"Apteronotus milesi",13,0,0,0
"Rhamdia guatemalensis",1,0,5,1
"Leporinus striatus",3,0,0,0
"Sturisomatichthys aureus",15,0,0,0
"Bunocephalus colombianus",12,0,9,0
"Ancistrus caucanus",12,0,0,0
"Rineloricaria magdalenae",8,0,70,0
"Sternopygus aequilabiatus",2,0,0,0
"Astyanax sp. 2",7,0,65,0
"Cynopotamus magdalenae",3,0,0,0
"Hypostomus hondae",1,0,3,0
"Dasyloricaria filamentosa",0,0,115,0
"Megaleporinus muyscorum",0,0,5,0
"Prochilodus magdalenae",3,1,7,0
"Trichopodus pectoralis",0,8,16,0
"Pimelodella floridablancaensis",1,0,0,0
"Geophagus steindachneri",2,0,0,0
"Paravandellia phaneronema",19,0,0,0
"Astyanax filiferus",4,0,0,37
"Imparfinis usmai",1,0,0,0
"Creagrutus magdalenae",14,0,0,50
"Trichopodus trichopterus",0,0,19,0
"Trachelyopterus insignis",0,0,13,4
"Triportheus magdalenae",0,1,0,12
"Argopleura magdalenensis",0,0,0,255
"Dupouyichthys sapito",0,0,0,1
"Pimelodus yuma",0,0,0,39
"Cetopsorhamdia molinae",0,0,0,1
"Megalonema xanthum",0,0,0,2
"Curimata mivartii",0,0,0,1
"Pseudopimelodus atricaudus",0,0,0,4
"Apteronotus mariae",0,0,0,1
"Microgenys minuta",0,0,0,1
"Pimelodus grosskopfii",0,0,0,25
