"","Quebrada","Ciénaga","Caño","Río Magdalena"
"Hoplias malabaricus",8,0,13,0
"Andinoacara latifrons",37,16,65,0
"Caquetaia kraussii",11,13,15,0
"Gasteropelecus maculatus",42,0,0,0
"Bunocephalus colombianus",2,0,3,0
"Ancistrus caucanus",8,0,0,0
"Astyanax magdalenae",227,20,20,3
"Astyanax sp. 1",7,0,0,0
"Leporinus striatus",4,0,0,0
"Roeboides dayi",6,8,4,3
"Cyphocharax magdalenae",80,49,186,6
"Ctenolucius hujeta",1,0,3,0
"Prochilodus magdalenae",1,1,0,1
"Triportheus magdalenae",0,6,0,37
"Pimelodus yuma",0,0,1,26
"Hypostomus hondae",0,0,11,0
"Megaleporinus muyscorum",0,0,1,0
"Curimata mivartii",0,0,1,4
"Rineloricaria magdalenae",6,0,21,0
"Sturisomatichthys aureus",13,0,0,1
"Pimelodella floridablancaensis",1,0,0,0
"Geophagus steindachneri",4,0,0,0
"Cynopotamus magdalenae",1,0,0,3
"Astyanax filiferus",30,0,0,0
"Dasyloricaria filamentosa",0,0,65,0
"Hoplosternum magdalenae",0,0,12,0
"Rhamdia guatemalensis",0,0,26,0
"Trichopodus pectoralis",0,0,16,0
"Trichopodus trichopterus",0,0,6,0
"Hyphessobrycon natagaima",0,0,31,0
"Astyanax sp. 2",0,0,3,0
"Sorubim cuspicaudus",0,0,0,1
"Trachelyopterus insignis",0,0,0,8
"Crossoloricaria variegata",0,0,0,1
"Pimelodus grosskopfii",0,0,0,15
"Megalonema xanthum",0,0,0,2
"Spatuloricaria gymnogaster",0,0,0,1
"Potamotrygon magdalenae",0,0,0,1
"Apteronotus mariae",0,0,0,1
"Sternopygus aequilabiatus",0,0,0,1
"Eigenmannia camposi",0,0,0,2
