"","Quebrada","Caño"
"Andinoacara latifrons",15,11
"Brachyhypopomus occidentalis",176,16
"Poecilia caucana",86,23
"Rivulus xi",123,3
"Rhamdia guatemalensis",10,0
"Gephyrocharax melanocheir",56,1
"Characidium zebra",194,27
"Imparfinis usmai",61,22
"Hyphessobrycon natagaima",8,0
"Roeboides dayi",3,0
"Eigenmannia camposi",64,9
"Apteronotus milesi",41,0
"Synbranchus marmoratus",3,0
"Farlowella yarigui",2,0
"Hoplias malabaricus",4,0
"Astyanax magdalenae",15,0
"Sturisomatichthys aureus",56,0
"Sternopygus aequilabiatus",8,0
"Nanocheirodon insignis",4,0
"Ancistrus caucanus",31,0
"Rineloricaria magdalenae",17,7
"Heptapterinae Gen. nov. et sp. nov.",6,0
"Kronoheros umbrifer",4,0
"Leporinus striatus",2,0
"Hypostomus hondae",6,0
"Caquetaia kraussii",0,4
"Hoplosternum magdalenae",1,7
"Trichopodus trichopterus",0,1
"Geophagus steindachneri",1,0
"Trichomycterus sp. 1",15,0
"Saccoderma hastata",6,0
"Astyanax sp. 1",1,0
"Gasteropelecus maculatus",1,0
"Creagrutus magdalenae",8,0
"Trichomycterus sp. 2",4,0
