"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",6,6,0,NA,NA,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",6,0,0,6,0,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",6,6,0,6,6,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",11,16.444,5.68,12.013,40.269,3,16,11,0.6938,7,3,1,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",10.041,15.626,4.281,10.041,24.017,3,16,11,0.6938,7,3,1,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",9.143,13.667,2.154,9.444,17.889,3,16,11,0.6938,7,3,1,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",34,41.732,6.801,35.753,68.094,22,189,34,0.9548,9,5,3,3,3,2,2,0,1,0
"8","Bosque Ripario","Shannon diversity",22.198,24.51,1.434,22.198,27.321,22,189,34,0.9548,9,5,3,3,3,2,2,0,1,0
"9","Bosque Ripario","Simpson diversity",17.002,17.784,1.18,17.002,20.098,22,189,34,0.9548,9,5,3,3,3,2,2,0,1,0
"10","Ciénaga","Species richness",6,6.667,1.333,6.055,14.013,3,12,6,0.9167,2,2,2,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",5.499,6.35,1.238,5.499,8.776,3,12,6,0.9167,2,2,2,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",5.143,5.833,0.946,5.143,7.687,3,12,6,0.9167,2,2,2,0,0,0,0,0,0,0
"13","Herbazal","Species richness",20,36.9,13.273,24.344,85.753,5,33,20,0.6586,13,4,1,1,1,0,0,0,0,0
"14","Herbazal","Shannon diversity",16.722,28.312,6.199,16.722,40.462,5,33,20,0.6586,13,4,1,1,1,0,0,0,0,0
"15","Herbazal","Simpson diversity",13.785,18.565,3.052,13.785,24.546,5,33,20,0.6586,13,4,1,1,1,0,0,0,0,0
"16","Pastos","Species richness",7,7,0,NA,NA,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",7,0,0,7,0,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",7,7,0,7,7,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"19","Vías","Species richness",16,31.125,13.212,19.457,82.173,4,25,16,0.6277,11,3,0,2,0,0,0,0,0,0
"20","Vías","Shannon diversity",13.584,23.986,7.467,13.584,38.622,4,25,16,0.6277,11,3,0,2,0,0,0,0,0,0
"21","Vías","Simpson diversity",11.364,15.25,2.748,11.364,20.635,4,25,16,0.6277,11,3,0,2,0,0,0,0,0,0
