"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",5,5.111,0.406,5.005,7.721,3,10,5,0.975,1,3,1,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",4.745,5.282,1.076,4.745,7.392,3,10,5,0.975,1,3,1,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",4.545,5.333,0.799,4.545,6.9,3,10,5,0.975,1,3,1,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",13,50.5,44.791,18.924,250.4,4,19,13,0.5066,10,1,1,1,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",11.091,29.354,10.817,11.091,50.555,4,19,13,0.5066,10,1,1,1,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",9.256,13.075,3.65,9.256,20.228,4,19,13,0.5066,10,1,1,1,0,0,0,0,0,0
"10","Herbazal","Species richness",35,41.457,5.651,36.473,63.308,23,187,35,0.9546,9,6,2,7,1,1,0,2,0,1
"11","Herbazal","Shannon diversity",22.847,25.28,1.468,22.847,28.157,23,187,35,0.9546,9,6,2,7,1,1,0,2,0,1
"12","Herbazal","Simpson diversity",17.354,18.244,1.15,17.354,20.497,23,187,35,0.9546,9,6,2,7,1,1,0,2,0,1
"13","Palma","Species richness",6,12.25,8.75,6.811,54.15,2,7,6,0.4898,5,1,0,0,0,0,0,0,0,0
"14","Palma","Shannon diversity",5.742,12.25,4.377,5.742,20.828,2,7,6,0.4898,5,1,0,0,0,0,0,0,0,0
"15","Palma","Simpson diversity",5.444,11,3.436,5.444,17.735,2,7,6,0.4898,5,1,0,0,0,0,0,0,0,0
"16","Pastos","Species richness",6,6.75,1.299,6.075,13.538,2,9,6,0.8889,3,3,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",5.67,6.75,1.237,5.67,9.175,2,9,6,0.8889,3,3,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",5.4,6.5,1.104,5.4,8.663,2,9,6,0.8889,3,3,0,0,0,0,0,0,0,0
"19","Rios","Species richness",17,49,22.789,26.119,129.288,9,42,17,0.7922,9,0,5,0,2,0,0,1,0,0
"20","Rios","Shannon diversity",13.014,20.271,5.001,13.014,30.072,9,42,17,0.7922,9,0,5,0,2,0,0,1,0,0
"21","Rios","Simpson diversity",10.5,12.259,2.057,10.5,16.292,9,42,17,0.7922,9,0,5,0,2,0,0,1,0,0
"22","Vias","Species richness",11,19,7.832,12.604,50.895,4,14,11,0.5429,8,3,0,0,0,0,0,0,0,0
"23","Vias","Shannon diversity",10.402,20.354,9.023,10.402,38.038,4,14,11,0.5429,8,3,0,0,0,0,0,0,0,0
"24","Vias","Simpson diversity",9.8,23,8.048,9.8,38.773,4,14,11,0.5429,8,3,0,0,0,0,0,0,0,0
"25","Zonas Pantanosas","Species richness",17,50.8,30.928,24.329,172.88,5,24,17,0.497,13,2,1,1,0,0,0,0,0,0
"26","Zonas Pantanosas","Shannon diversity",14.793,36.396,19.466,14.793,74.55,5,24,17,0.497,13,2,1,1,0,0,0,0,0,0
"27","Zonas Pantanosas","Simpson diversity",12.522,20.273,8.531,12.522,36.992,5,24,17,0.497,13,2,1,1,0,0,0,0,0,0
