"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",35,41.39,5.914,36.368,64.855,628,35,0.9873
"2","Bosque Ripario","Shannon diversity",11.108,11.506,0.548,11.108,12.58,628,35,0.9873
"3","Bosque Ripario","Simpson diversity",6.796,6.859,0.37,6.796,7.584,628,35,0.9873
"4","Pastos","Species richness",11,12.527,2.08,11.205,22.369,22,11,0.8375
"5","Pastos","Shannon diversity",9.587,13.017,2.281,9.587,17.488,22,11,0.8375
"6","Pastos","Simpson diversity",8.345,12.833,2.597,8.345,17.923,22,11,0.8375
"7","Bosque Abierto","Species richness",6,6.923,1.747,6.082,16.364,13,6,0.8681
"8","Bosque Abierto","Shannon diversity",5.321,6.946,1.558,5.321,10,13,6,0.8681
"9","Bosque Abierto","Simpson diversity",4.829,7.091,1.431,4.829,9.895,13,6,0.8681
"10","Palma","Species richness",17,21.127,4.84,17.667,42.55,104,17,0.9525
"11","Palma","Shannon diversity",10.127,11.283,1.119,10.127,13.476,104,17,0.9525
"12","Palma","Simpson diversity",7.704,8.24,0.901,7.704,10.006,104,17,0.9525
"13","Vias","Species richness",17,30.245,12.235,19.841,78.752,53,17,0.8323
"14","Vias","Shannon diversity",9.811,13.224,2.796,9.811,18.705,53,17,0.8323
"15","Vias","Simpson diversity",6.174,6.856,1.72,6.174,10.228,53,17,0.8323
"16","Herbazal","Species richness",13,21.855,10.017,14.495,65.463,62,13,0.9043
"17","Herbazal","Shannon diversity",6.027,7.226,1.497,6.027,10.16,62,13,0.9043
"18","Herbazal","Simpson diversity",3.836,4.023,0.669,3.836,5.334,62,13,0.9043
"19","Zonas Pantanosas","Species richness",5,5,0.567,5,6.745,55,5,1
"20","Zonas Pantanosas","Shannon diversity",2.311,2.403,0.325,2.311,3.039,55,5,1
"21","Zonas Pantanosas","Simpson diversity",1.663,1.684,0.233,1.663,2.141,55,5,1
"22","Bosque Denso","Species richness",6,11.714,6.723,6.919,41.516,21,6,0.8157
"23","Bosque Denso","Shannon diversity",3.46,4.575,1.265,3.46,7.054,21,6,0.8157
"24","Bosque Denso","Simpson diversity",2.549,2.763,0.704,2.549,4.143,21,6,0.8157
"25","Rios","Species richness",3,3,0.503,3,4.642,9,3,1
"26","Rios","Shannon diversity",2.552,2.888,0.509,2.552,3.885,9,3,1
"27","Rios","Simpson diversity",2.314,2.769,0.62,2.314,3.984,9,3,1
