"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_100_D","Species richness",5,13,8.069,6.549,46.319,"ANH_100","VES",0.369958275382476
"2","ANH_100_D","Shannon diversity",5,18.564,5.798,7.2,29.928,"ANH_100","VES",0.369958275382476
"3","ANH_100_D","Simpson diversity",5,5,2.76,5,10.409,"ANH_100","VES",0.369958275382476
"4","ANH_100_N","Species richness",6,8.077,3.16,6.243,23.752,"ANH_100","VES",0.369958275382476
"5","ANH_100_N","Shannon diversity",4.594,6.356,1.71,4.594,9.707,"ANH_100","VES",0.369958275382476
"6","ANH_100_N","Simpson diversity",3.596,4.588,1.576,3.596,7.678,"ANH_100","VES",0.369958275382476
"7","ANH_109_N","Species richness",6,13.2,10.53,6.885,64.574,"ANH_109","VES",0.789986091794159
"8","ANH_109_N","Shannon diversity",5,9.479,4.769,5,18.825,"ANH_109","VES",0.789986091794159
"9","ANH_109_N","Simpson diversity",4.167,6.429,5.7,4.167,17.6,"ANH_109","VES",0.789986091794159
"10","ANH_117_D","Species richness",2,2.5,1.107,2.037,8.808,"ANH_117","VES",0.777468706536857
"11","ANH_117_D","Shannon diversity",2,3.375,1.175,2,5.678,"ANH_117","VES",0.777468706536857
"12","ANH_117_D","Simpson diversity",2,2,0.471,2,2.924,"ANH_117","VES",0.777468706536857
"13","ANH_117_N","Species richness",4,7.6,5.817,4.391,37.177,"ANH_117","VES",0.777468706536857
"14","ANH_117_N","Shannon diversity",3.789,8.182,4.915,3.789,17.815,"ANH_117","VES",0.777468706536857
"15","ANH_117_N","Simpson diversity",3.571,10,3.14,3.846,16.154,"ANH_117","VES",0.777468706536857
"16","ANH_133_D","Species richness",4,4.923,2.016,4.069,16.365,"ANH_133","VES",0.931849791376912
"17","ANH_133_D","Shannon diversity",2.806,3.368,0.686,2.806,4.713,"ANH_133","VES",0.931849791376912
"18","ANH_133_D","Simpson diversity",2.253,2.516,0.698,2.253,3.883,"ANH_133","VES",0.931849791376912
"19","ANH_133_N","Species richness",10,11.466,2.247,10.17,22.644,"ANH_133","VES",0.931849791376912
"20","ANH_133_N","Shannon diversity",6.355,7.279,0.928,6.355,9.098,"ANH_133","VES",0.931849791376912
"21","ANH_133_N","Simpson diversity",4.699,5.141,0.875,4.699,6.855,"ANH_133","VES",0.931849791376912
"22","ANH_135_N","Species richness",5,9.339,6.948,5.476,44.535,"ANH_135","VES",0.301808066759388
"23","ANH_135_N","Shannon diversity",2.028,2.387,0.693,2.028,3.746,"ANH_135","VES",0.301808066759388
"24","ANH_135_N","Simpson diversity",1.463,1.488,0.264,1.463,2.005,"ANH_135","VES",0.301808066759388
"25","ANH_136_D","Species richness",3,3.889,1.906,3.068,14.638,"ANH_136","VES",0.840055632823366
"26","ANH_136_D","Shannon diversity",1.981,2.427,0.603,1.981,3.609,"ANH_136","VES",0.840055632823366
"27","ANH_136_D","Simpson diversity",1.588,1.588,0.504,1.588,2.577,"ANH_136","VES",0.840055632823366
"28","ANH_136_N","Species richness",10,12.611,3.421,10.368,28.523,"ANH_136","VES",0.840055632823366
"29","ANH_136_N","Shannon diversity",4.923,5.664,1.077,4.923,7.774,"ANH_136","VES",0.840055632823366
"30","ANH_136_N","Simpson diversity",3.156,3.308,0.667,3.156,4.615,"ANH_136","VES",0.840055632823366
"31","ANH_141_D","Species richness",3,5,2.921,3.246,19.244,"ANH_141","VES",0.535465924895688
"32","ANH_141_D","Shannon diversity",3,7.184,2.4,3,11.888,"ANH_141","VES",0.535465924895688
"33","ANH_141_D","Simpson diversity",3,3,0.636,3,4.247,"ANH_141","VES",0.535465924895688
