"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"1","ANH_151","Species richness",13,21.824,9.983,14.489,65.288,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.824756606397775
"2","ANH_151","Shannon diversity",8.017,9.992,1.863,8.017,13.644,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.824756606397775
"3","ANH_151","Simpson diversity",6.063,6.746,1.134,6.063,8.968,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.824756606397775
"4","ANH_160","Species richness",8,13.729,6.957,8.887,45.01,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.737134909596662
"5","ANH_160","Shannon diversity",7.237,13.3,4.817,7.237,22.741,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.737134909596662
"6","ANH_160","Simpson diversity",6.545,13.2,6.258,6.545,25.465,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.737134909596662
"7","ANH_182","Species richness",6,6.636,1.257,6.054,13.535,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.739916550764951
"8","ANH_182","Shannon diversity",3.396,3.943,0.915,3.396,5.736,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.739916550764951
"9","ANH_182","Simpson diversity",2.305,2.457,0.776,2.305,3.978,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.739916550764951
"10","ANH_117","Species richness",5,6.929,2.958,5.223,21.648,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.777468706536857
