"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto","Anolis tropidogaster",TRUE,1,2,22.2,NA,NA,22.2,0.3,16.7
"2","VES","Bosque Abierto","Anolis",TRUE,2,2,22.2,NA,NA,44.4,0.3,33.3
"3","VES","Bosque Abierto","Imantodes cenchoa",TRUE,3,2,22.2,NA,NA,66.7,0.3,50
"4","VES","Bosque Abierto","Thamnodynastes gambotensis",FALSE,4,1,11.1,NA,NA,77.8,0,66.7
"5","VES","Bosque Abierto","Dendrophidion percarinatum",FALSE,5,1,11.1,NA,NA,88.9,0,83.3
"6","VES","Bosque Abierto","Gonatodes albogularis",FALSE,6,1,11.1,NA,NA,100,0,100
"7","VES","Bosque Denso","Gonatodes albogularis",TRUE,1,19,35.8,NA,NA,35.8,1.3,7.7
"8","VES","Bosque Denso","Anolis tropidogaster",TRUE,2,17,32.1,NA,NA,67.9,1.2,15.4
"9","VES","Bosque Denso","Anolis auratus",TRUE,3,3,5.7,NA,NA,73.6,0.5,23.1
"10","VES","Bosque Denso","Enuliophis sclateri",FALSE,4,3,5.7,NA,NA,79.2,0.5,30.8
"11","VES","Bosque Denso","Basiliscus galeritus",FALSE,5,2,3.8,NA,NA,83,0.3,38.5
"12","VES","Bosque Denso","Imantodes cenchoa",FALSE,6,2,3.8,NA,NA,86.8,0.3,46.2
"13","VES","Bosque Denso","Corallus ruschenbergerii",FALSE,7,1,1.9,NA,NA,88.7,0,53.8
"14","VES","Bosque Denso","Loxopholis rugiceps",FALSE,8,1,1.9,NA,NA,90.6,0,61.5
"15","VES","Bosque Denso","Sphaerodactylus lineolatus",FALSE,9,1,1.9,NA,NA,92.5,0,69.2
"16","VES","Bosque Denso","Caiman crocodilus",FALSE,10,1,1.9,NA,NA,94.3,0,76.9
"17","VES","Bosque Denso","Holcosus festivus",FALSE,11,1,1.9,NA,NA,96.2,0,84.6
"18","VES","Bosque Denso","Thecadactylus rapicauda",FALSE,12,1,1.9,NA,NA,98.1,0,92.3
"19","VES","Bosque Denso","Alopoglossus festae",FALSE,13,1,1.9,NA,NA,100,0,100
"20","VES","Bosque Ripario","Basiliscus galeritus",TRUE,1,197,28.1,NA,NA,28.1,2.3,2.8
"21","VES","Bosque Ripario","Loxopholis rugiceps",TRUE,2,106,15.1,NA,NA,43.3,2,5.6
