"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto_ANH_169_D","Anolis tropidogaster",TRUE,1,1,100,NA,NA,100,0,100
"2","VES","Bosque Abierto_ANH_169_N","Anolis",TRUE,1,2,25,NA,NA,25,0.3,16.7
"3","VES","Bosque Abierto_ANH_169_N","Imantodes cenchoa",TRUE,2,2,25,NA,NA,50,0.3,33.3
"4","VES","Bosque Abierto_ANH_169_N","Thamnodynastes gambotensis",TRUE,3,1,12.5,NA,NA,62.5,0,50
"5","VES","Bosque Abierto_ANH_169_N","Anolis tropidogaster",FALSE,4,1,12.5,NA,NA,75,0,66.7
"6","VES","Bosque Abierto_ANH_169_N","Dendrophidion percarinatum",FALSE,5,1,12.5,NA,NA,87.5,0,83.3
"7","VES","Bosque Abierto_ANH_169_N","Gonatodes albogularis",FALSE,6,1,12.5,NA,NA,100,0,100
"8","VES","Bosque Denso_ANH_171_D","Anolis tropidogaster",TRUE,1,3,60,NA,NA,60,0.5,33.3
"9","VES","Bosque Denso_ANH_171_D","Gonatodes albogularis",TRUE,2,1,20,NA,NA,80,0,66.7
"10","VES","Bosque Denso_ANH_171_D","Holcosus festivus",TRUE,3,1,20,NA,NA,100,0,100
"11","VES","Bosque Denso_ANH_171_N","Gonatodes albogularis",TRUE,1,2,33.3,NA,NA,33.3,0.3,25
"12","VES","Bosque Denso_ANH_171_N","Anolis tropidogaster",TRUE,2,2,33.3,NA,NA,66.7,0.3,50
"13","VES","Bosque Denso_ANH_171_N","Caiman crocodilus",TRUE,3,1,16.7,NA,NA,83.3,0,75
"14","VES","Bosque Denso_ANH_171_N","Imantodes cenchoa",FALSE,4,1,16.7,NA,NA,100,0,100
"15","VES","Bosque Denso_ANH_360_D","Anolis tropidogaster",TRUE,1,7,58.3,NA,NA,58.3,0.8,25
"16","VES","Bosque Denso_ANH_360_D","Anolis auratus",TRUE,2,2,16.7,NA,NA,75,0.3,50
"17","VES","Bosque Denso_ANH_360_D","Gonatodes albogularis",TRUE,3,2,16.7,NA,NA,91.7,0.3,75
"18","VES","Bosque Denso_ANH_360_D","Sphaerodactylus lineolatus",FALSE,4,1,8.3,NA,NA,100,0,100
"19","VES","Bosque Denso_ANH_360_N","Gonatodes albogularis",TRUE,1,4,33.3,NA,NA,33.3,0.6,12.5
"20","VES","Bosque Denso_ANH_360_N","Anolis tropidogaster",TRUE,2,2,16.7,NA,NA,50,0.3,25
"21","VES","Bosque Denso_ANH_360_N","Imantodes cenchoa",TRUE,3,1,8.3,NA,NA,58.3,0,37.5
"22","VES","Bosque Denso_ANH_360_N","Enuliophis sclateri",FALSE,4,1,8.3,NA,NA,66.7,0,50
"23","VES","Bosque Denso_ANH_360_N","Corallus ruschenbergerii",FALSE,5,1,8.3,NA,NA,75,0,62.5
"24","VES","Bosque Denso_ANH_360_N","Loxopholis rugiceps",FALSE,6,1,8.3,NA,NA,83.3,0,75
