"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Caracterizacion","Gonatodes albogularis",TRUE,1,48,29.3,NA,NA,29.3,1.7,5
"2","VES","Caracterizacion","Basiliscus galeritus",TRUE,2,35,21.3,NA,NA,50.6,1.5,10
"3","VES","Caracterizacion","Anolis tropidogaster",TRUE,3,28,17.1,NA,NA,67.7,1.4,15
"4","VES","Caracterizacion","Loxopholis rugiceps",FALSE,4,9,5.5,NA,NA,73.2,1,20
"5","VES","Caracterizacion","Leptodeira annulata",FALSE,5,9,5.5,NA,NA,78.7,1,25
"6","VES","Caracterizacion","Imantodes cenchoa",FALSE,6,7,4.3,NA,NA,82.9,0.8,30
"7","VES","Caracterizacion","Anolis auratus",FALSE,7,6,3.7,NA,NA,86.6,0.8,35
"8","VES","Caracterizacion","Hemidactylus frenatus",FALSE,8,4,2.4,NA,NA,89,0.6,40
"9","VES","Caracterizacion","Enuliophis sclateri",FALSE,9,3,1.8,NA,NA,90.9,0.5,45
"10","VES","Caracterizacion","Rhinoclemmys melanosterna",FALSE,10,2,1.2,NA,NA,92.1,0.3,50
"11","VES","Caracterizacion","Caiman crocodilus",FALSE,11,2,1.2,NA,NA,93.3,0.3,55
"12","VES","Caracterizacion","Cnemidophorus lemniscatus",FALSE,12,2,1.2,NA,NA,94.5,0.3,60
"13","VES","Caracterizacion","Thecadactylus rapicauda",FALSE,13,2,1.2,NA,NA,95.7,0.3,65
"14","VES","Caracterizacion","Sphaerodactylus lineolatus",FALSE,14,1,0.6,NA,NA,96.3,0,70
"15","VES","Caracterizacion","Holcosus festivus",FALSE,15,1,0.6,NA,NA,97,0,75
"16","VES","Caracterizacion","Atractus",FALSE,16,1,0.6,NA,NA,97.6,0,80
"17","VES","Caracterizacion","Lepidoblepharis xanthostigma",FALSE,17,1,0.6,NA,NA,98.2,0,85
"18","VES","Caracterizacion","Corallus ruschenbergerii",FALSE,18,1,0.6,NA,NA,98.8,0,90
"19","VES","Caracterizacion","Mastigodryas boddaerti",FALSE,19,1,0.6,NA,NA,99.4,0,95
"20","VES","Caracterizacion","Lygophis lineatus",FALSE,20,1,0.6,NA,NA,100,0,100
"21","VES","Kale","Basiliscus galeritus",TRUE,1,82,17.7,NA,NA,17.7,1.9,2.5
"22","VES","Kale","Loxopholis rugiceps",TRUE,2,72,15.5,NA,NA,33.2,1.9,5
"23","VES","Kale","Gonatodes albogularis",TRUE,3,63,13.6,NA,NA,46.8,1.8,7.5
"24","VES","Kale","Caiman crocodilus",FALSE,4,61,13.1,NA,NA,59.9,1.8,10
"25","VES","Kale","Anolis tropidogaster",FALSE,5,42,9.1,NA,NA,69,1.6,12.5
"26","VES","Kale","Anolis auratus",FALSE,6,22,4.7,NA,NA,73.7,1.3,15
"27","VES","Kale","Imantodes cenchoa",FALSE,7,18,3.9,NA,NA,77.6,1.3,17.5
"28","VES","Kale","Mabuya",FALSE,8,10,2.2,NA,NA,79.7,1,20
"29","VES","Kale","Corallus ruschenbergerii",FALSE,9,9,1.9,NA,NA,81.7,1,22.5
"30","VES","Kale","Leptodeira annulata",FALSE,10,8,1.7,NA,NA,83.4,0.9,25
"31","VES","Kale","Iguana iguana",FALSE,11,7,1.5,NA,NA,84.9,0.8,27.5
"32","VES","Kale","Helicops danieli",FALSE,12,6,1.3,NA,NA,86.2,0.8,30
"33","VES","Kale","Bothrops asper",FALSE,13,6,1.3,NA,NA,87.5,0.8,32.5
"34","VES","Kale","Leptophis ahaetulla",FALSE,14,5,1.1,NA,NA,88.6,0.7,35
"35","VES","Kale","Holcosus festivus",FALSE,15,5,1.1,NA,NA,89.7,0.7,37.5
"36","VES","Kale","Thamnodynastes gambotensis",FALSE,16,5,1.1,NA,NA,90.7,0.7,40
"37","VES","Kale","Cnemidophorus lemniscatus",FALSE,17,4,0.9,NA,NA,91.6,0.6,42.5
"38","VES","Kale","Alopoglossus festae",FALSE,18,4,0.9,NA,NA,92.5,0.6,45
"39","VES","Kale","Sphaerodactylus lineolatus",FALSE,19,3,0.6,NA,NA,93.1,0.5,47.5
"40","VES","Kale","Kinosternon scorpioides",FALSE,20,3,0.6,NA,NA,93.8,0.5,50
