"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",7,15.333,11.547,8.096,70.381,3,10,7,0.5833,5,1,1,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",6.261,12.11,4.494,6.261,20.918,3,10,7,0.5833,5,1,1,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",5.556,7.833,2.242,5.556,12.229,3,10,7,0.5833,5,1,1,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",25,37.886,11.918,27.76,85.164,22,118,25,0.9261,9,3,4,1,2,0,1,0,1,0
"8","Bosque Ripario","Shannon diversity",15.57,18.084,1.847,15.57,21.705,22,118,25,0.9261,9,3,4,1,2,0,1,0,1,0
"9","Bosque Ripario","Simpson diversity",11.642,12.27,1.035,11.642,14.299,22,118,25,0.9261,9,3,4,1,2,0,1,0,1,0
"10","Ciénaga","Species richness",5,10.333,7.888,5.646,49.002,3,6,5,0.4667,4,1,0,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",4.762,10.694,4.772,4.762,20.046,3,6,5,0.4667,4,1,0,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",4.5,10.333,3.512,4.5,17.216,3,6,5,0.4667,4,1,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",14,54,47.749,20.323,267.046,5,24,14,0.6032,10,1,1,1,1,0,0,0,0,0
"14","Herbazal","Shannon diversity",11.208,25.064,8.458,11.208,41.64,5,24,14,0.6032,10,1,1,1,1,0,0,0,0,0
"15","Herbazal","Simpson diversity",9,11.24,2.808,9,16.744,5,24,14,0.6032,10,1,1,1,1,0,0,0,0,0
"16","Pastos","Species richness",5,5,0,NA,NA,1,5,5,1,5,0,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",5,0,0,5,0,1,5,5,1,5,0,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",5,5,0,5,5,1,5,5,1,5,0,0,0,0,0,0,0,0,0
"19","Vías","Species richness",11,35,29.799,14.615,170.34,4,18,11,0.5897,8,1,0,2,0,0,0,0,0,0
"20","Vías","Shannon diversity",9,19.113,7.731,9,34.265,4,18,11,0.5897,8,1,0,2,0,0,0,0,0,0
"21","Vías","Simpson diversity",7.364,9.077,2.411,7.364,13.803,4,18,11,0.5897,8,1,0,2,0,0,0,0,0,0
