"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",3,4.333,2.582,3.115,18.398,3,4,3,0.6667,2,1,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",2.828,4.589,1.91,2.828,8.333,3,4,3,0.6667,2,1,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",2.667,4.333,1.291,2.667,6.863,3,4,3,0.6667,2,1,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",6,8.667,3.651,6.356,25.985,3,8,6,0.6667,4,2,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",5.657,9.178,3.952,5.657,16.923,3,8,6,0.6667,4,2,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",5.333,9.667,2.947,5.333,15.442,3,8,6,0.6667,4,2,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",21,49.935,27.422,27.025,159.951,23,76,21,0.8576,11,2,1,2,1,0,0,0,0,2
"8","Bosque Ripario","Shannon diversity",12.935,17.24,2.668,12.935,22.469,23,76,21,0.8576,11,2,1,2,1,0,0,0,0,2
"9","Bosque Ripario","Simpson diversity",9.595,10.409,1.157,9.595,12.677,23,76,21,0.8576,11,2,1,2,1,0,0,0,0,2
"10","Herbazal","Species richness",4,6.25,3.75,4.235,25.553,2,5,4,0.64,3,1,0,0,0,0,0,0,0,0
"11","Herbazal","Shannon diversity",3.789,6.25,1.938,3.789,10.048,2,5,4,0.64,3,1,0,0,0,0,0,0,0,0
"12","Herbazal","Simpson diversity",3.571,5.5,1.597,3.571,8.631,2,5,4,0.64,3,1,0,0,0,0,0,0,0,0
"13","Palma","Species richness",3,4.5,2.25,3.179,15.595,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"14","Palma","Shannon diversity",3,6,2.644,3,11.181,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"15","Palma","Simpson diversity",3,3,1.456,3,5.853,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"16","Pastos","Species richness",11,21.719,11.568,12.915,71.004,8,19,11,0.6594,7,2,0,2,0,0,0,0,0,0
"17","Pastos","Shannon diversity",9.16,15.986,4.545,9.16,24.894,8,19,11,0.6594,7,2,0,2,0,0,0,0,0,0
"18","Pastos","Simpson diversity",7.681,10.813,3.214,7.681,17.112,8,19,11,0.6594,7,2,0,2,0,0,0,0,0,0
"19","Vias","Species richness",7,11.167,5.171,7.628,34.645,3,9,7,0.6032,5,2,0,0,0,0,0,0,0,0
"20","Vias","Shannon diversity",6.614,11.737,4.279,6.614,20.123,3,9,7,0.6032,5,2,0,0,0,0,0,0,0,0
"21","Vias","Simpson diversity",6.231,12.333,4.337,6.231,20.835,3,9,7,0.6032,5,2,0,0,0,0,0,0,0,0
"22","Zonas Pantanosas","Species richness",6,7.688,2.628,6.192,20.852,4,11,6,0.8112,3,2,0,1,0,0,0,0,0,0
"23","Zonas Pantanosas","Shannon diversity",5.164,6.865,1.606,5.164,10.012,4,11,6,0.8112,3,2,0,1,0,0,0,0,0,0
"24","Zonas Pantanosas","Simpson diversity",4.481,5.406,1.102,4.481,7.567,4,11,6,0.8112,3,2,0,1,0,0,0,0,0,0
