"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"1","ANH_151","Species richness",5,5.232,0.689,5.012,9.487,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.640287769784173
"2","ANH_151","Shannon diversity",4.211,4.995,1.168,4.211,7.284,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.640287769784173
"3","ANH_151","Simpson diversity",3.63,4.55,1.289,3.63,7.077,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.640287769784173
"4","ANH_160","Species richness",3,5,2.921,3.246,19.244,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.709832134292566
"5","ANH_160","Shannon diversity",3,7.184,2.385,3,11.859,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.709832134292566
"6","ANH_160","Simpson diversity",3,3,0.52,3,4.02,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.709832134292566
"7","ANH_182","Species richness",3,3.444,1.197,3.026,10.662,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.664268585131894
"8","ANH_182","Shannon diversity",2.337,2.747,0.917,2.337,4.545,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.664268585131894
"9","ANH_182","Simpson diversity",1.976,2.25,0.879,1.976,3.972,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.664268585131894
"10","ANH_117","Species richness",3,5,2.921,3.246,19.244,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.707434052757794
