"","Bosque Ripario","Herbazal","Bosque Denso","Pastos","Ciénaga","Vías","Bosque Abierto"
"Gonatodes albogularis",63,3,15,1,0,6,0
"Anolis tropidogaster",34,1,9,0,1,1,2
"Basiliscus galeritus",79,0,0,0,0,0,0
"Loxopholis rugiceps",57,12,0,0,0,5,0
"Caiman crocodilus",5,19,1,0,10,2,0
"Anolis auratus",7,8,0,0,5,14,0
"Imantodes cenchoa",10,1,1,0,0,0,1
"Tantilla melanocephala",1,1,0,0,0,2,0
"Lepidoblepharis xanthostigma",8,0,0,0,0,0,0
"Rhinoclemmys melanosterna",2,1,0,0,0,0,0
"Kinosternon scorpioides",2,0,0,0,0,0,0
"Corallus ruschenbergerii",6,2,1,0,0,0,0
"Chironius spixii",1,0,0,0,0,0,0
"Ameiva ameiva",1,0,0,0,0,1,0
"Leptophis ahaetulla",2,0,0,0,2,0,0
"Helicops danieli",3,2,0,0,0,0,0
"Enuliophis sclateri",1,0,1,0,0,0,0
"Holcosus festivus",0,0,1,1,0,0,0
"Thamnodynastes gambotensis",0,1,0,1,1,0,1
"Epicrates maurus",0,0,0,1,0,0,0
"Pseudoboa neuwiedii",0,0,0,1,0,0,0
"Mabuya",1,2,0,0,0,2,0
"Cnemidophorus lemniscatus",0,4,0,0,0,0,0
"Hemidactylus frenatus",0,0,0,0,0,2,0
"Sphaerodactylus lineolatus",3,0,0,0,0,0,0
"Leptodeira annulata",11,0,0,0,0,0,0
"Thecadactylus rapicauda",2,0,0,0,0,0,0
"Atractus",1,0,0,0,0,0,0
"Liotyphlops albirostris",0,1,0,0,0,0,0
"Mastigodryas boddaerti",1,0,0,0,0,0,0
"Diploglossus monotropis",4,0,0,0,0,0,0
"Ameiva bifrontata",0,0,0,0,0,1,0
"Lygophis lineatus",0,0,0,0,0,1,0
"Porthidium lansbergii",1,0,0,0,0,0,0
