"","Kale","Platero","Caracterizacion"
"Basiliscus galeritus",10,37,6
"Gonatodes albogularis",19,13,19
"Loxopholis rugiceps",27,15,2
"Anolis tropidogaster",9,7,7
"Caiman crocodilus",7,8,1
"Anolis auratus",6,13,2
"Tantilla melanocephala",1,3,0
"Lepidoblepharis xanthostigma",0,1,0
"Imantodes cenchoa",5,2,1
"Rhinoclemmys melanosterna",1,1,0
"Corallus ruschenbergerii",1,2,1
"Chironius spixii",1,0,0
"Ameiva ameiva",1,0,0
"Enuliophis sclateri",1,0,1
"Thamnodynastes gambotensis",2,1,0
"Epicrates maurus",0,1,0
"Pseudoboa neuwiedii",0,1,0
"Mabuya",3,0,0
"Leptophis ahaetulla",0,2,0
"Helicops danieli",4,0,0
"Hemidactylus frenatus",0,0,2
"Sphaerodactylus lineolatus",1,2,0
"Leptodeira annulata",2,1,5
"Kinosternon scorpioides",1,0,0
"Atractus",0,0,1
"Ameiva bifrontata",0,1,0
"Lygophis lineatus",0,1,0
"Porthidium lansbergii",0,1,0
"Thecadactylus rapicauda",1,0,0
"Diploglossus monotropis",1,0,0
