"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Habitat","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"1","ANH_100","Species richness",3,4.5,2.25,3.179,15.595,"VES",0.211136890951276,"7°18' 25,981"" N","73°49' 37,614"" W",7.30721700024,-73.827115,"Herpetos","T","Vías",2216.45098132,3.77554811857,5502.87910693,8424.27427021,1977.99908983,6173.13385251,6937.20919767,217.921544993,217.921544993,6965.5497725,7970.32534722,2045.72173973,"PVAa","Vias",NA,"Vías",NA,NA,NA,NA,NA,NA,841.669467865,"Platero",6173.13385251,0,2.8524766246,2646.40491361,NA,NA,NA,11,NA
"2","ANH_100","Shannon diversity",3,6,2.342,3,10.59,"VES",0.211136890951276,"7°18' 25,981"" N","73°49' 37,614"" W",7.30721700024,-73.827115,"Herpetos","T","Vías",2216.45098132,3.77554811857,5502.87910693,8424.27427021,1977.99908983,6173.13385251,6937.20919767,217.921544993,217.921544993,6965.5497725,7970.32534722,2045.72173973,"PVAa","Vias",NA,"Vías",NA,NA,NA,NA,NA,NA,841.669467865,"Platero",6173.13385251,0,2.8524766246,2646.40491361,NA,NA,NA,11,NA
"3","ANH_100","Simpson diversity",3,3,1.108,3,5.172,"VES",0.211136890951276,"7°18' 25,981"" N","73°49' 37,614"" W",7.30721700024,-73.827115,"Herpetos","T","Vías",2216.45098132,3.77554811857,5502.87910693,8424.27427021,1977.99908983,6173.13385251,6937.20919767,217.921544993,217.921544993,6965.5497725,7970.32534722,2045.72173973,"PVAa","Vias",NA,"Vías",NA,NA,NA,NA,NA,NA,841.669467865,"Platero",6173.13385251,0,2.8524766246,2646.40491361,NA,NA,NA,11,NA
"4","ANH_109","Species richness",3,4.5,2.25,3.179,15.595,"VES",0.464037122969838,"7°22' 42,931"" N","73°52' 48,184"" W",7.37859200024,-73.880051,"Herpetos","T","Herbazal",2621.08020641,313.658975118,1712.4251117,1712.4251117,4350.70255724,1987.90297097,11819.760745,134.308512745,0,1870.17913746,2040.99857978,611.00037254,"RVCa","Herbazal",NA,"Herbazal",NA,NA,NA,NA,NA,NA,33.9255733774,"Kale",1987.90297097,0,1724.23565215,4825.12437241,NA,NA,NA,11,NA
"5","ANH_109","Shannon diversity",3,6,2.394,3,10.692,"VES",0.464037122969838,"7°22' 42,931"" N","73°52' 48,184"" W",7.37859200024,-73.880051,"Herpetos","T","Herbazal",2621.08020641,313.658975118,1712.4251117,1712.4251117,4350.70255724,1987.90297097,11819.760745,134.308512745,0,1870.17913746,2040.99857978,611.00037254,"RVCa","Herbazal",NA,"Herbazal",NA,NA,NA,NA,NA,NA,33.9255733774,"Kale",1987.90297097,0,1724.23565215,4825.12437241,NA,NA,NA,11,NA
"6","ANH_109","Simpson diversity",3,3,1.449,3,5.841,"VES",0.464037122969838,"7°22' 42,931"" N","73°52' 48,184"" W",7.37859200024,-73.880051,"Herpetos","T","Herbazal",2621.08020641,313.658975118,1712.4251117,1712.4251117,4350.70255724,1987.90297097,11819.760745,134.308512745,0,1870.17913746,2040.99857978,611.00037254,"RVCa","Herbazal",NA,"Herbazal",NA,NA,NA,NA,NA,NA,33.9255733774,"Kale",1987.90297097,0,1724.23565215,4825.12437241,NA,NA,NA,11,NA
"7","ANH_117","Species richness",4,8,4.714,4.642,28.911,"VES",0.612529002320186,"7°24' 29,819"" N","73°47' 32,136"" W",7.40828300024,-73.79226,"Herpetos","T","Bosque ripario",1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,6483.31882577,17878.785794,0,0,1250.34556023,10812.9671575,621.738218213,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,55.5231894305,"Kale",6483.31882577,0,9172.49771502,63.3444318525,NA,NA,NA,11,NA
"8","ANH_117","Shannon diversity",4,11.233,4.129,4,19.326,"VES",0.612529002320186,"7°24' 29,819"" N","73°47' 32,136"" W",7.40828300024,-73.79226,"Herpetos","T","Bosque ripario",1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,6483.31882577,17878.785794,0,0,1250.34556023,10812.9671575,621.738218213,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,55.5231894305,"Kale",6483.31882577,0,9172.49771502,63.3444318525,NA,NA,NA,11,NA
"9","ANH_117","Simpson diversity",4,4,2.245,4,8.401,"VES",0.612529002320186,"7°24' 29,819"" N","73°47' 32,136"" W",7.40828300024,-73.79226,"Herpetos","T","Bosque ripario",1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,6483.31882577,17878.785794,0,0,1250.34556023,10812.9671575,621.738218213,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,55.5231894305,"Kale",6483.31882577,0,9172.49771502,63.3444318525,NA,NA,NA,11,NA
"10","ANH_133","Species richness",8,12.688,5.766,8.714,38.768,"VES",0.675174013921114,"7°16' 51,136"" N","73°51' 30,420"" W",7.28087100024,-73.85845,"Herpetos","T","Bosque ripario",5160.47181143,4493.33615423,2065.36517366,4727.91314187,5368.07199542,8791.6922704,2475.5275149,0,0,3674.55972873,5697.57717866,3872.18798745,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,27.8725991505,"Platero",2475.5275149,0,4501.68100899,1444.39173489,NA,NA,NA,6.5,NA
