"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_100_N","Species richness",3,5,2.921,3.246,19.244,"ANH_100","VES",0.211136890951276
"2","ANH_100_N","Shannon diversity",3,7.184,2.487,3,12.059,"ANH_100","VES",0.211136890951276
"3","ANH_100_N","Simpson diversity",3,3,0.551,3,4.08,"ANH_100","VES",0.211136890951276
"4","ANH_109_N","Species richness",3,4.5,2.872,3.132,20.083,"ANH_109","VES",0.464037122969838
"5","ANH_109_N","Shannon diversity",2.828,4.891,2.929,2.828,10.631,"ANH_109","VES",0.464037122969838
"6","ANH_109_N","Simpson diversity",2.667,6,1.836,2.667,9.599,"ANH_109","VES",0.464037122969838
"7","ANH_117_D","Species richness",1,1,0.312,1,2.549,"ANH_117","VES",0.612529002320186
"8","ANH_117_D","Shannon diversity",1,0,0,1,0,"ANH_117","VES",0.612529002320186
"9","ANH_117_D","Simpson diversity",1,1,0,1,1,"ANH_117","VES",0.612529002320186
"10","ANH_117_N","Species richness",3,5,2.921,3.246,19.244,"ANH_117","VES",0.612529002320186
"11","ANH_117_N","Shannon diversity",3,7.184,2.466,3,12.018,"ANH_117","VES",0.612529002320186
"12","ANH_117_N","Simpson diversity",3,3,0.476,3,3.933,"ANH_117","VES",0.612529002320186
"13","ANH_133_D","Species richness",3,5,2.921,3.246,19.244,"ANH_133","VES",0.675174013921114
"14","ANH_133_D","Shannon diversity",3,7.184,2.371,3,11.832,"ANH_133","VES",0.675174013921114
"15","ANH_133_D","Simpson diversity",3,3,0.537,3,4.053,"ANH_133","VES",0.675174013921114
"16","ANH_133_N","Species richness",7,11.295,6.881,7.471,46.158,"ANH_133","VES",0.675174013921114
"17","ANH_133_N","Shannon diversity",5.302,6.838,1.603,5.302,9.981,"ANH_133","VES",0.675174013921114
"18","ANH_133_N","Simpson diversity",4.481,5.372,1.24,4.481,7.802,"ANH_133","VES",0.675174013921114
"19","ANH_135_N","Species richness",5,9.339,6.948,5.476,44.535,"ANH_135","VES",0.503480278422274
"20","ANH_135_N","Shannon diversity",2.028,2.387,0.642,2.028,3.646,"ANH_135","VES",0.503480278422274
"21","ANH_135_N","Simpson diversity",1.463,1.488,0.272,1.463,2.021,"ANH_135","VES",0.503480278422274
"22","ANH_136_D","Species richness",2,2,0.463,2,3.567,"ANH_136","VES",0.5707656612529
"23","ANH_136_D","Shannon diversity",1.507,1.637,0.386,1.507,2.394,"ANH_136","VES",0.5707656612529
"24","ANH_136_D","Simpson diversity",1.324,1.324,0.404,1.324,2.116,"ANH_136","VES",0.5707656612529
"25","ANH_136_N","Species richness",9,20.875,16.3,10.58,98.267,"ANH_136","VES",0.5707656612529
"26","ANH_136_N","Shannon diversity",7.167,11.595,3.922,7.167,19.282,"ANH_136","VES",0.5707656612529
"27","ANH_136_N","Simpson diversity",6.061,8.261,2.7,6.061,13.553,"ANH_136","VES",0.5707656612529
