"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto","Anolis",TRUE,1,2,40,NA,NA,40,0.3,25
"2","VES","Bosque Abierto","Imantodes cenchoa",TRUE,2,1,20,NA,NA,60,0,50
"3","VES","Bosque Abierto","Gonatodes albogularis",TRUE,3,1,20,NA,NA,80,0,75
"4","VES","Bosque Abierto","Dendrophidion percarinatum",FALSE,4,1,20,NA,NA,100,0,100
"5","VES","Bosque Denso","Anolis tropidogaster",TRUE,1,8,33.3,NA,NA,33.3,0.9,10
"6","VES","Bosque Denso","Gonatodes albogularis",TRUE,2,4,16.7,NA,NA,50,0.6,20
"7","VES","Bosque Denso","Anolis auratus",TRUE,3,3,12.5,NA,NA,62.5,0.5,30
"8","VES","Bosque Denso","Enuliophis sclateri",FALSE,4,2,8.3,NA,NA,70.8,0.3,40
"9","VES","Bosque Denso","Basiliscus galeritus",FALSE,5,2,8.3,NA,NA,79.2,0.3,50
"10","VES","Bosque Denso","Imantodes cenchoa",FALSE,6,1,4.2,NA,NA,83.3,0,60
"11","VES","Bosque Denso","Loxopholis rugiceps",FALSE,7,1,4.2,NA,NA,87.5,0,70
"12","VES","Bosque Denso","Thecadactylus rapicauda",FALSE,8,1,4.2,NA,NA,91.7,0,80
"13","VES","Bosque Denso","Sphaerodactylus lineolatus",FALSE,9,1,4.2,NA,NA,95.8,0,90
"14","VES","Bosque Denso","Alopoglossus festae",FALSE,10,1,4.2,NA,NA,100,0,100
"15","VES","Bosque Ripario","Basiliscus galeritus",TRUE,1,118,29.9,NA,NA,29.9,2.1,3
"16","VES","Bosque Ripario","Anolis tropidogaster",TRUE,2,55,14,NA,NA,43.9,1.7,6.1
"17","VES","Bosque Ripario","Loxopholis rugiceps",TRUE,3,49,12.4,NA,NA,56.3,1.7,9.1
"18","VES","Bosque Ripario","Gonatodes albogularis",FALSE,4,39,9.9,NA,NA,66.2,1.6,12.1
"19","VES","Bosque Ripario","Lepidoblepharis xanthostigma",FALSE,5,13,3.3,NA,NA,69.5,1.1,15.2
"20","VES","Bosque Ripario","Imantodes cenchoa",FALSE,6,13,3.3,NA,NA,72.8,1.1,18.2
"21","VES","Bosque Ripario","Leptodeira annulata",FALSE,7,12,3,NA,NA,75.9,1.1,21.2
"22","VES","Bosque Ripario","Anolis auratus",FALSE,8,12,3,NA,NA,78.9,1.1,24.2
