"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto_ANH_169_N","Anolis",TRUE,1,2,40,NA,NA,40,0.3,25
"2","VES","Bosque Abierto_ANH_169_N","Imantodes cenchoa",TRUE,2,1,20,NA,NA,60,0,50
"3","VES","Bosque Abierto_ANH_169_N","Gonatodes albogularis",TRUE,3,1,20,NA,NA,80,0,75
"4","VES","Bosque Abierto_ANH_169_N","Dendrophidion percarinatum",FALSE,4,1,20,NA,NA,100,0,100
"5","VES","Bosque Denso_ANH_360_D","Anolis tropidogaster",TRUE,1,5,62.5,NA,NA,62.5,0.7,33.3
"6","VES","Bosque Denso_ANH_360_D","Anolis auratus",TRUE,2,2,25,NA,NA,87.5,0.3,66.7
"7","VES","Bosque Denso_ANH_360_D","Sphaerodactylus lineolatus",TRUE,3,1,12.5,NA,NA,100,0,100
"8","VES","Bosque Denso_ANH_360_N","Gonatodes albogularis",TRUE,1,3,37.5,NA,NA,37.5,0.5,16.7
"9","VES","Bosque Denso_ANH_360_N","Anolis auratus",TRUE,2,1,12.5,NA,NA,50,0,33.3
"10","VES","Bosque Denso_ANH_360_N","Enuliophis sclateri",TRUE,3,1,12.5,NA,NA,62.5,0,50
"11","VES","Bosque Denso_ANH_360_N","Loxopholis rugiceps",FALSE,4,1,12.5,NA,NA,75,0,66.7
"12","VES","Bosque Denso_ANH_360_N","Imantodes cenchoa",FALSE,5,1,12.5,NA,NA,87.5,0,83.3
"13","VES","Bosque Denso_ANH_360_N","Thecadactylus rapicauda",FALSE,6,1,12.5,NA,NA,100,0,100
"14","VES","Bosque Denso_ANH_375_N","Anolis tropidogaster",TRUE,1,3,37.5,NA,NA,37.5,0.5,20
"15","VES","Bosque Denso_ANH_375_N","Basiliscus galeritus",TRUE,2,2,25,NA,NA,62.5,0.3,40
"16","VES","Bosque Denso_ANH_375_N","Gonatodes albogularis",TRUE,3,1,12.5,NA,NA,75,0,60
"17","VES","Bosque Denso_ANH_375_N","Alopoglossus festae",FALSE,4,1,12.5,NA,NA,87.5,0,80
"18","VES","Bosque Denso_ANH_375_N","Enuliophis sclateri",FALSE,5,1,12.5,NA,NA,100,0,100
"19","VES","Bosque Ripario_ANH_117_D","Anolis tropidogaster",TRUE,1,1,100,NA,NA,100,0,100
"20","VES","Bosque Ripario_ANH_117_N","Imantodes cenchoa",TRUE,1,1,33.3,NA,NA,33.3,0,33.3
"21","VES","Bosque Ripario_ANH_117_N","Loxopholis rugiceps",TRUE,2,1,33.3,NA,NA,66.7,0,66.7
"22","VES","Bosque Ripario_ANH_117_N","Porthidium lansbergii",TRUE,3,1,33.3,NA,NA,100,0,100
"23","VES","Bosque Ripario_ANH_133_D","Anolis tropidogaster",TRUE,1,1,33.3,NA,NA,33.3,0,33.3
"24","VES","Bosque Ripario_ANH_133_D","Gonatodes albogularis",TRUE,2,1,33.3,NA,NA,66.7,0,66.7
"25","VES","Bosque Ripario_ANH_133_D","Mabuya",TRUE,3,1,33.3,NA,NA,100,0,100
"26","VES","Bosque Ripario_ANH_133_N","Loxopholis rugiceps",TRUE,1,7,31.8,NA,NA,31.8,0.8,14.3
"27","VES","Bosque Ripario_ANH_133_N","Anolis tropidogaster",TRUE,2,6,27.3,NA,NA,59.1,0.8,28.6
"28","VES","Bosque Ripario_ANH_133_N","Caiman crocodilus",TRUE,3,4,18.2,NA,NA,77.3,0.6,42.9
"29","VES","Bosque Ripario_ANH_133_N","Anolis auratus",FALSE,4,2,9.1,NA,NA,86.4,0.3,57.1
"30","VES","Bosque Ripario_ANH_133_N","Mabuya",FALSE,5,1,4.5,NA,NA,90.9,0,71.4
"31","VES","Bosque Ripario_ANH_133_N","Pseudoboa neuwiedii",FALSE,6,1,4.5,NA,NA,95.5,0,85.7
"32","VES","Bosque Ripario_ANH_133_N","Lepidoblepharis xanthostigma",FALSE,7,1,4.5,NA,NA,100,0,100
"33","VES","Bosque Ripario_ANH_136_D","Basiliscus galeritus",TRUE,1,6,85.7,NA,NA,85.7,0.8,50
"34","VES","Bosque Ripario_ANH_136_D","Rhinoclemmys melanosterna",TRUE,2,1,14.3,NA,NA,100,0,100
"35","VES","Bosque Ripario_ANH_136_N","Caiman crocodilus",TRUE,1,5,25,NA,NA,25,0.7,11.1
"36","VES","Bosque Ripario_ANH_136_N","Anolis tropidogaster",TRUE,2,4,20,NA,NA,45,0.6,22.2
"37","VES","Bosque Ripario_ANH_136_N","Basiliscus galeritus",TRUE,3,4,20,NA,NA,65,0.6,33.3
"38","VES","Bosque Ripario_ANH_136_N","Anolis auratus",FALSE,4,2,10,NA,NA,75,0.3,44.4
"39","VES","Bosque Ripario_ANH_136_N","Leptodeira annulata",FALSE,5,1,5,NA,NA,80,0,55.6
"40","VES","Bosque Ripario_ANH_136_N","Rhinoclemmys melanosterna",FALSE,6,1,5,NA,NA,85,0,66.7
"41","VES","Bosque Ripario_ANH_136_N","Imantodes cenchoa",FALSE,7,1,5,NA,NA,90,0,77.8
"42","VES","Bosque Ripario_ANH_136_N","Corallus ruschenbergerii",FALSE,8,1,5,NA,NA,95,0,88.9
"43","VES","Bosque Ripario_ANH_136_N","Loxopholis rugiceps",FALSE,9,1,5,NA,NA,100,0,100
"44","VES","Bosque Ripario_ANH_148_D","Basiliscus galeritus",TRUE,1,5,62.5,NA,NA,62.5,0.7,50
"45","VES","Bosque Ripario_ANH_148_D","Gonatodes albogularis",TRUE,2,3,37.5,NA,NA,100,0.5,100
"46","VES","Bosque Ripario_ANH_148_N","Basiliscus galeritus",TRUE,1,14,93.3,NA,NA,93.3,1.1,50
"47","VES","Bosque Ripario_ANH_148_N","Bothrops asper",TRUE,2,1,6.7,NA,NA,100,0,100
"48","VES","Bosque Ripario_ANH_149_D","Chironius spixii",TRUE,1,1,100,NA,NA,100,0,100
"49","VES","Bosque Ripario_ANH_149_N","Anolis tropidogaster",TRUE,1,3,60,NA,NA,60,0.5,33.3
"50","VES","Bosque Ripario_ANH_149_N","Basiliscus galeritus",TRUE,2,1,20,NA,NA,80,0,66.7
"51","VES","Bosque Ripario_ANH_149_N","Corallus ruschenbergerii",TRUE,3,1,20,NA,NA,100,0,100
"52","VES","Bosque Ripario_ANH_150_D","Basiliscus galeritus",TRUE,1,6,85.7,NA,NA,85.7,0.8,50
"53","VES","Bosque Ripario_ANH_150_D","Kinosternon scorpioides",TRUE,2,1,14.3,NA,NA,100,0,100
"54","VES","Bosque Ripario_ANH_150_N","Basiliscus galeritus",TRUE,1,8,50,NA,NA,50,0.9,16.7
"55","VES","Bosque Ripario_ANH_150_N","Anolis tropidogaster",TRUE,2,3,18.8,NA,NA,68.8,0.5,33.3
"56","VES","Bosque Ripario_ANH_150_N","Imantodes cenchoa",TRUE,3,2,12.5,NA,NA,81.2,0.3,50
"57","VES","Bosque Ripario_ANH_150_N","Bothrops asper",FALSE,4,1,6.2,NA,NA,87.5,0,66.7
"58","VES","Bosque Ripario_ANH_150_N","Dendrophidion percarinatum",FALSE,5,1,6.2,NA,NA,93.8,0,83.3
"59","VES","Bosque Ripario_ANH_150_N","Leptophis ahaetulla",FALSE,6,1,6.2,NA,NA,100,0,100
"60","VES","Bosque Ripario_ANH_151_D","Basiliscus galeritus",TRUE,1,4,50,NA,NA,50,0.6,33.3
"61","VES","Bosque Ripario_ANH_151_D","Gonatodes albogularis",TRUE,2,3,37.5,NA,NA,87.5,0.5,66.7
"62","VES","Bosque Ripario_ANH_151_D","Mabuya",TRUE,3,1,12.5,NA,NA,100,0,100
"63","VES","Bosque Ripario_ANH_151_N","Loxopholis rugiceps",TRUE,1,7,24.1,NA,NA,24.1,0.8,9.1
