"","Bosque Ripario","Bosque Denso","Vías","Pastos","Herbazal","Bosque Abierto","Ciénaga"
"Anolis auratus",12,3,5,0,32,0,2
"Anolis tropidogaster",54,8,0,0,1,0,2
"Diploglossus monotropis",2,0,0,0,0,0,0
"Lepidoblepharis xanthostigma",13,0,0,0,0,0,0
"Mabuya",10,0,0,0,3,0,0
"Dendrophidion percarinatum",2,0,0,0,0,1,0
"Imantodes cenchoa",12,1,1,0,3,1,0
"Bothrops asper",7,0,0,0,0,0,0
"Loxopholis rugiceps",49,1,4,0,2,0,0
"Basiliscus galeritus",118,2,0,0,0,0,0
"Sphaerodactylus lineolatus",2,1,0,0,0,0,0
"Gonatodes albogularis",38,4,5,0,1,1,0
"Enuliophis sclateri",1,2,0,0,0,0,0
"Thecadactylus rapicauda",1,1,0,0,0,0,0
"Alopoglossus festae",2,1,0,0,0,0,0
"Holcosus festivus",4,0,0,0,0,0,0
"Pseudoboa neuwiedii",3,0,0,1,0,0,0
"Kinosternon scorpioides",8,0,0,0,0,0,0
"Leptodeira annulata",12,0,2,0,0,0,0
"Corallus ruschenbergerii",5,0,0,0,0,0,0
"Clelia clelia",1,0,0,0,1,0,0
"Rhinoclemmys melanosterna",4,0,0,0,0,0,0
"Micrurus dumerilii",1,0,0,0,1,0,0
"Leptophis ahaetulla",5,0,0,0,0,0,0
"Caiman crocodilus",11,0,0,0,16,0,39
"Chironius spixii",3,0,2,0,1,0,0
"Helicops danieli",3,0,0,0,1,0,0
"Porthidium lansbergii",1,0,0,0,0,0,0
"Cnemidophorus lemniscatus",0,0,2,5,0,0,0
"Ameiva bifrontata",0,0,0,1,0,0,0
"Iguana iguana",0,0,0,0,2,0,9
"Trachemys callirostris",1,0,0,0,1,0,0
"Tupinambis cryptus",0,0,0,0,1,0,0
"Thamnodynastes gambotensis",0,0,0,0,3,0,0
"Anolis",0,0,0,0,0,2,0
"Lepidoblepharis",1,0,0,0,0,0,0
"Oxybelis aeneus",1,0,0,0,0,0,0
"Oxyrhopus petolarius",0,0,0,0,1,0,0
"Tantilla melanocephala",0,0,1,0,0,0,0
"Erythrolamprus melanotus",0,0,1,0,0,0,0
"Mastigodryas boddaerti",1,0,0,0,0,0,0
"Hemidactylus frenatus",0,0,2,0,0,0,0
