"","parentEven","richness","Shannon","Simpson","samplEff.1","shann_corr","simp_corr","parentEven.y","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec"
"1","ANH_128",33,3.20015163,0.94617284,1,3.20015163,0.94617284,"ANH_128","7°19' 31,102"" N","73°42' 56,649"" W",7.32530605467,-73.7157358468,"Unidad Muestral","OE",2151.63861056,179.782790227,3793.75383002,5695.75471078,1110.8283978,14732.9221746,18967.7586619,0,0,12626.5146732,7500.37168615,3626.42288584,"LVBe3","Bosque Ripario",740.917316393,"Caracterizacion",14732.9221746,0,1250.6437865,5675.65736857
"2","ANH_154",21,2.8962936,0.93761815,1,2.8962936,0.93761815,"ANH_154","7°22' 55,213"" N","73°43' 49,796"" W",7.38200374052,-73.7304989852,"Unidad Muestral","OE",5707.68185688,630.923830548,3141.29649561,12163.9146673,2615.03937952,12584.152642,20427.9896691,0,0,6730.35157964,13879.1689562,1760.19133592,"LVCb2","Bosque Ripario",66.8118485261,"Caracterizacion",12584.152642,0,6344.21715567,6708.39722987
"3","ANH_169",44,3.44516539,0.95626667,1,3.44516539,0.95626667,"ANH_169","7°24' 17,808"" N","73°51' 51,846"" W",7.40494656747,-73.8644016177,"Unidad Muestral","OE",3008.6006518,344.82821215,1254.44457271,1254.44457271,7738.55098229,2615.44791641,14821.616022,67.6693111242,67.6693111242,5251.1625434,3143.07907235,1696.90185098,"RVAa","Vegetacion Secundaria",12.5783041534,"Kale",2615.44791641,0,2894.09970279,4673.48726668
"4","ANH_185",40,3.34800831,0.9545516,1,3.34800831,0.9545516,"ANH_185","7°13' 53,838"" N","73°49' 51,196"" W",7.23162158044,-73.8308878681,"Unidad Muestral","OE",1369.29339055,261.955887974,3141.23325334,3506.74083286,4253.43907342,14306.8167844,5857.08118083,122.231646732,122.231646732,8186.57181895,147.716199116,7518.14009957,"PVAa","Pastos",21.2723623644,"Platero",5857.08118083,0,293.352964141,575.667411528
"5","ANH_189",7,1.82387332,0.82352941,1,1.82387332,0.82352941,"ANH_189","7°18' 13,776"" N","73°42' 12,316"" W",7.30382674324,-73.7034211482,"Unidad Muestral","OE",1421.52135387,2181.17836061,1228.08907513,3043.98993982,3814.56531264,16780.7846653,19701.0083926,0,0,15350.7908453,5146.2383441,2346.37321103,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16780.7846653,0,1000.68761787,3053.76219255
"6","ANH_189",7,1.82387332,0.82352941,1,1.82387332,0.82352941,"ANH_189","7°18' 17,000"" N","73°42' 13,900"" W",7.30472222246,-73.7038611111,"Camaras","PE",1528.39285465,2280.05000501,1314.12400049,3150.12591481,3704.43815614,16698.9998067,19671.3416335,0,0,15241.7946314,5251.15141019,2413.15579596,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16698.9998067,0,959.369646156,3160.46946298
"7","ANH_189",1,0,0,1,0,0,"ANH_189","7°18' 13,776"" N","73°42' 12,316"" W",7.30382674324,-73.7034211482,"Unidad Muestral","OE",1421.52135387,2181.17836061,1228.08907513,3043.98993982,3814.56531264,16780.7846653,19701.0083926,0,0,15350.7908453,5146.2383441,2346.37321103,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16780.7846653,0,1000.68761787,3053.76219255
"8","ANH_189",1,0,0,1,0,0,"ANH_189","7°18' 17,000"" N","73°42' 13,900"" W",7.30472222246,-73.7038611111,"Camaras","PE",1528.39285465,2280.05000501,1314.12400049,3150.12591481,3704.43815614,16698.9998067,19671.3416335,0,0,15241.7946314,5251.15141019,2413.15579596,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16698.9998067,0,959.369646156,3160.46946298
"9","ANH_189",2,0.28683598,0.15277778,1,0.28683598,0.15277778,"ANH_189","7°18' 13,776"" N","73°42' 12,316"" W",7.30382674324,-73.7034211482,"Unidad Muestral","OE",1421.52135387,2181.17836061,1228.08907513,3043.98993982,3814.56531264,16780.7846653,19701.0083926,0,0,15350.7908453,5146.2383441,2346.37321103,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16780.7846653,0,1000.68761787,3053.76219255
"10","ANH_189",2,0.28683598,0.15277778,1,0.28683598,0.15277778,"ANH_189","7°18' 17,000"" N","73°42' 13,900"" W",7.30472222246,-73.7038611111,"Camaras","PE",1528.39285465,2280.05000501,1314.12400049,3150.12591481,3704.43815614,16698.9998067,19671.3416335,0,0,15241.7946314,5251.15141019,2413.15579596,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16698.9998067,0,959.369646156,3160.46946298
