"","parentEven","richness","Shannon","Simpson","samplEff.1","shann_corr","simp_corr","parentEven.y","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec"
"1","ANH_189",2,0.28683598,0.15277778,0.660869565217391,0.434028127631579,0.231176903947368,"ANH_189","7°18' 17,000"" N","73°42' 13,900"" W",7.30472222246,-73.7038611111,"Camaras","PE",1528.39285465,2280.05000501,1314.12400049,3150.12591481,3704.43815614,16698.9998067,19671.3416335,0,0,15241.7946314,5251.15141019,2413.15579596,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16698.9998067,0,959.369646156,3160.46946298
"2","ANH_189",2,0.28683598,0.15277778,0.660869565217391,0.434028127631579,0.231176903947368,"ANH_189","7°18' 13,776"" N","73°42' 12,316"" W",7.30382674324,-73.7034211482,"Unidad Muestral","OE",1421.52135387,2181.17836061,1228.08907513,3043.98993982,3814.56531264,16780.7846653,19701.0083926,0,0,15350.7908453,5146.2383441,2346.37321103,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16780.7846653,0,1000.68761787,3053.76219255
"3","ANH_189",1,0,0,0.660869565217391,0,0,"ANH_189","7°18' 17,000"" N","73°42' 13,900"" W",7.30472222246,-73.7038611111,"Camaras","PE",1528.39285465,2280.05000501,1314.12400049,3150.12591481,3704.43815614,16698.9998067,19671.3416335,0,0,15241.7946314,5251.15141019,2413.15579596,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16698.9998067,0,959.369646156,3160.46946298
"4","ANH_189",1,0,0,0.660869565217391,0,0,"ANH_189","7°18' 13,776"" N","73°42' 12,316"" W",7.30382674324,-73.7034211482,"Unidad Muestral","OE",1421.52135387,2181.17836061,1228.08907513,3043.98993982,3814.56531264,16780.7846653,19701.0083926,0,0,15350.7908453,5146.2383441,2346.37321103,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16780.7846653,0,1000.68761787,3053.76219255
"5","ANH_189",7,1.82387332,0.82352941,0.660869565217391,2.75980831315789,1.24613002828947,"ANH_189","7°18' 17,000"" N","73°42' 13,900"" W",7.30472222246,-73.7038611111,"Camaras","PE",1528.39285465,2280.05000501,1314.12400049,3150.12591481,3704.43815614,16698.9998067,19671.3416335,0,0,15241.7946314,5251.15141019,2413.15579596,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16698.9998067,0,959.369646156,3160.46946298
"6","ANH_189",7,1.82387332,0.82352941,0.660869565217391,2.75980831315789,1.24613002828947,"ANH_189","7°18' 13,776"" N","73°42' 12,316"" W",7.30382674324,-73.7034211482,"Unidad Muestral","OE",1421.52135387,2181.17836061,1228.08907513,3043.98993982,3814.56531264,16780.7846653,19701.0083926,0,0,15350.7908453,5146.2383441,2346.37321103,"LVBe3","Bosque Denso",215.82601981,"Caracterizacion",16780.7846653,0,1000.68761787,3053.76219255
"7","ANH_240",2,0.41011632,0.24489796,0.8,0.5126454,0.30612245,"ANH_240","7°23' 42,100"" N","73°48' 27,800"" W",7.39502777802,-73.8077222222,"Camaras","PE",4119.18168627,2280.23236677,5108.57567386,5108.57567386,5066.53536764,4326.48706357,15740.6315266,0,0,3403.02303598,9451.94076908,1828.99251491,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4326.48706357,0,7987.32164663,541.781793222
"8","ANH_240",2,0.41011632,0.24489796,0.8,0.5126454,0.30612245,"ANH_240","7°23' 41,622"" N","73°48' 27,798"" W",7.39489489169,-73.8077215898,"Unidad Muestral","OE",4128.84602956,2291.88443202,5109.728914,5109.728914,5054.91598789,4321.48004896,15727.9355456,0,0,3415.48823377,9456.33790736,1840.98926531,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4321.48004896,0,7973.07735985,548.696239275
"9","ANH_240",17,2.63190907,0.91522491,0.8,3.2898863375,1.1440311375,"ANH_240","7°23' 42,100"" N","73°48' 27,800"" W",7.39502777802,-73.8077222222,"Camaras","PE",4119.18168627,2280.23236677,5108.57567386,5108.57567386,5066.53536764,4326.48706357,15740.6315266,0,0,3403.02303598,9451.94076908,1828.99251491,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4326.48706357,0,7987.32164663,541.781793222
"10","ANH_240",17,2.63190907,0.91522491,0.8,3.2898863375,1.1440311375,"ANH_240","7°23' 41,622"" N","73°48' 27,798"" W",7.39489489169,-73.8077215898,"Unidad Muestral","OE",4128.84602956,2291.88443202,5109.728914,5109.728914,5054.91598789,4321.48004896,15727.9355456,0,0,3415.48823377,9456.33790736,1840.98926531,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4321.48004896,0,7973.07735985,548.696239275
"11","ANH_240",4,1.1490597,0.61728395,0.8,1.436324625,0.7716049375,"ANH_240","7°23' 42,100"" N","73°48' 27,800"" W",7.39502777802,-73.8077222222,"Camaras","PE",4119.18168627,2280.23236677,5108.57567386,5108.57567386,5066.53536764,4326.48706357,15740.6315266,0,0,3403.02303598,9451.94076908,1828.99251491,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4326.48706357,0,7987.32164663,541.781793222
