"Punto.Fijo.eventPer","Punto.Fijo.order","Punto.Fijo.observado","Punto.Fijo.estimado","Punto.Fijo.s.e.","Punto.Fijo.LCL","Punto.Fijo.UCL","Punto.Fijo.parentEventID","Punto.Fijo.Dis_Cienag","Punto.Fijo.Dis_MGSG","Punto.Fijo.Dis_Dre345","Punto.Fijo.DisBosque","Punto.Fijo.Dis_CobNat","Punto.Fijo.Tam_Parche","Punto.Fijo.Dis_CP","Punto.Fijo.Dis_Oleodu","Punto.Fijo.Dis_Pozo","Punto.Fijo.Dis_Pozact","Punto.Fijo.Dis_Ferroc","Punto.Fijo.Dis_ViaPri","Punto.Fijo.Dia_ViaSec","Punto.Fijo.Plataf","Punto.Fijo.CobAves"
"ANH_128_21","Species richness",39,61.336,15.973,45.338,117.717,"ANH_128",13213.6834013,6834.00808806,3076.79827564,37.5207111503,37.5207111503,10.7040095489,2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,764.574349067,5009.53711016,"Caracterizacion","Pastos"
"ANH_128_21","Shannon diversity",27.856,35.26,3.535,28.33,42.189,"ANH_128",13213.6834013,6834.00808806,3076.79827564,37.5207111503,37.5207111503,10.7040095489,2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,764.574349067,5009.53711016,"Caracterizacion","Pastos"
"ANH_128_21","Simpson diversity",21.648,25.523,2.739,21.648,30.891,"ANH_128",13213.6834013,6834.00808806,3076.79827564,37.5207111503,37.5207111503,10.7040095489,2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,764.574349067,5009.53711016,"Caracterizacion","Pastos"
"ANH_154_21","Species richness",32,38.467,4.92,33.72,56.318,"ANH_154",6812.8819015,13699.0061305,2003.93643246,67.8346020537,67.8346020537,841.669467865,5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,6129.53308166,6728.25516361,"Caracterizacion","Bosque Ripario"
"ANH_154_21","Shannon diversity",24.118,31.3,3.217,24.996,37.604,"ANH_154",6812.8819015,13699.0061305,2003.93643246,67.8346020537,67.8346020537,841.669467865,5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,6129.53308166,6728.25516361,"Caracterizacion","Bosque Ripario"
"ANH_154_21","Simpson diversity",18.469,23.469,3.433,18.469,30.197,"ANH_154",6812.8819015,13699.0061305,2003.93643246,67.8346020537,67.8346020537,841.669467865,5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,6129.53308166,6728.25516361,"Caracterizacion","Bosque Ripario"
"ANH_169_21","Species richness",70,107.418,20.209,83.882,170.858,"ANH_169",5337.00382746,3190.17558074,1707.39924414,9.51325401912,9.51325401912,841.669467865,3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2942.88862544,4659.65721021,"Kale","Bosque Abierto"
"ANH_169_21","Shannon diversity",47.202,58.189,3.881,50.582,65.797,"ANH_169",5337.00382746,3190.17558074,1707.39924414,9.51325401912,9.51325401912,841.669467865,3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2942.88862544,4659.65721021,"Kale","Bosque Abierto"
"ANH_169_21","Simpson diversity",34.941,39.923,3.367,34.941,46.522,"ANH_169",5337.00382746,3190.17558074,1707.39924414,9.51325401912,9.51325401912,841.669467865,3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2942.88862544,4659.65721021,"Kale","Bosque Abierto"
"ANH_185_21","Species richness",52,67.939,10.545,56.893,103.922,"ANH_185",8285.07904626,30.5536400594,7502.62396414,18.2104160256,18.2104160256,21.2723623644,1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,416.817067356,620.788127381,"Platero","Pastos"
"ANH_185_21","Shannon diversity",30.964,35.665,2.48,30.964,40.526,"ANH_185",8285.07904626,30.5536400594,7502.62396414,18.2104160256,18.2104160256,21.2723623644,1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,416.817067356,620.788127381,"Platero","Pastos"
"ANH_185_21","Simpson diversity",21.331,23.133,1.86,21.331,26.779,"ANH_185",8285.07904626,30.5536400594,7502.62396414,18.2104160256,18.2104160256,21.2723623644,1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,416.817067356,620.788127381,"Platero","Pastos"
"ANH_189_21","Species richness",26,37.826,9.042,29.128,70.704,"ANH_189",15420.3804029,5043.52075652,2234.01953494,0,0,215.82601981,1322.72823256,2072.15942254,1221.6959345,2943.38093061,3902.0299604,891.548513081,2954.27293381,"Caracterizacion","Bosque Denso"
"ANH_189_21","Shannon diversity",17.516,23.723,3.41,17.516,30.406,"ANH_189",15420.3804029,5043.52075652,2234.01953494,0,0,215.82601981,1322.72823256,2072.15942254,1221.6959345,2943.38093061,3902.0299604,891.548513081,2954.27293381,"Caracterizacion","Bosque Denso"
"ANH_189_21","Simpson diversity",11.641,13.8,2.845,11.641,19.376,"ANH_189",15420.3804029,5043.52075652,2234.01953494,0,0,215.82601981,1322.72823256,2072.15942254,1221.6959345,2943.38093061,3902.0299604,891.548513081,2954.27293381,"Caracterizacion","Bosque Denso"
"ANH_191_21","Species richness",61,69.147,5.713,63.359,89.139,"ANH_191",7579.18111166,4368.03016238,1946.92857417,0,0,74.2339310474,7724.91642868,1.70647206919,486.666468012,486.666468012,13993.2289563,20.7814018937,9218.20028557,"Kale","Bosque Abierto"
"ANH_191_21","Shannon diversity",34.418,37.762,2.215,34.418,42.104,"ANH_191",7579.18111166,4368.03016238,1946.92857417,0,0,74.2339310474,7724.91642868,1.70647206919,486.666468012,486.666468012,13993.2289563,20.7814018937,9218.20028557,"Kale","Bosque Abierto"
"ANH_191_21","Simpson diversity",23.042,24.365,1.91,23.042,28.108,"ANH_191",7579.18111166,4368.03016238,1946.92857417,0,0,74.2339310474,7724.91642868,1.70647206919,486.666468012,486.666468012,13993.2289563,20.7814018937,9218.20028557,"Kale","Bosque Abierto"
"ANH_192_21","Species richness",65,72.139,5.899,66.736,94.36,"ANH_192",6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto"
"ANH_192_21","Shannon diversity",11.514,11.773,0.465,11.514,12.685,"ANH_192",6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto"
"ANH_192_21","Simpson diversity",4.547,4.556,0.203,4.547,4.955,"ANH_192",6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto"
"ANH_197_21","Species richness",71,101.188,17.601,81.456,158.155,"ANH_197",5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto"
"ANH_197_21","Shannon diversity",37.398,41.753,2.284,37.398,46.229,"ANH_197",5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto"
"ANH_197_21","Simpson diversity",24.843,26.122,1.671,24.843,29.397,"ANH_197",5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto"
"ANH_208_21","Species richness",21,25.124,4.837,21.666,46.536,"ANH_208",4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma"
"ANH_208_21","Shannon diversity",15.656,17.936,1.541,15.656,20.957,"ANH_208",4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma"
"ANH_208_21","Simpson diversity",12.737,14.491,1.689,12.737,17.802,"ANH_208",4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma"
